0x400750
0x400a70
0x400a75
0x400a77
0x400a7c
0x400a80
0x400a82
0x400a84
0x400a87
0x400a8a
0x400a8c
0x400a8f
0x400a91
0x400a93
0x400a96
0x400a98
0x400a9b
0x400a9e
