IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type,CrashOnSameIP
461f3d,r9,2481931,1145,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,mov,"mov, (%r9,%rax,8),%rdx",1,0,16.855468,66.66666666666667,32.33830845771144,DATAXFER,0.3246753246753247
480190,rflags,2485704,1432,crash,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mov,"mov, (%rdi,%rdx,8),%rcx",0,1,16.881265,66.16915422885572,32.83582089552239,DATAXFER,0.42105263157894735
485801,rsi,2488973,1595,crash,<hypre_IJMatrixSetValuesOMPParCSR._omp_fn.6>,cmp,"cmp, %rax,%r9",0,1,16.903617,66.66666666666667,32.33830845771144,CONDITION,0.25
4857e4,r8,2488973,1595,masked,<hypre_IJMatrixSetValuesOMPParCSR._omp_fn.6>,cmp,"cmp, 0x38(%r13),%rsi",1,0,16.903617,66.16915422885572,32.83582089552239,CONDITION,0.25
485bed,rax,2488973,1595,masked,<hypre_IJMatrixSetValuesOMPParCSR._omp_fn.6>,mov,"mov, 0xc0(%r13),%rax",1,0,16.903617,66.66666666666667,32.33830845771144,DATAXFER,0.0
4576ec,xmm0,2488973,1595,masked,<hypre_BoomerAMGCreate2ndS._omp_fn.10>,cmpq,"cmpq, $0x0,(%rsi,%rdx,8)",1,0,16.903617,67.16417910447761,31.8407960199005,UnKnown,0.1111111111111111
461f3d,rax,2488973,1595,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,mov,"mov, (%r9,%rax,8),%rdx",0,1,16.903617,66.16915422885572,32.83582089552239,DATAXFER,0.3246753246753247
482571,rdx,2497024,60,masked,<hypre_SeqVectorInnerProd._omp_fn.4>,addsd,"addsd, %xmm1,%xmm0",1,0,16.958665,67.16417910447761,31.8407960199005,FP,0.4
461f45,rflags,2510573,665,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,cmp,"cmp, %rsi,%rax",0,1,17.051304,67.16417910447761,31.8407960199005,CONDITION,0.3157894736842105
461f3d,rsi,2510573,665,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,mov,"mov, (%r9,%rax,8),%rdx",1,0,17.051304,67.16417910447761,31.8407960199005,DATAXFER,0.3246753246753247
480376,rsp,2518965,514,crash,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,subsd,"subsd, %xmm0,%xmm1",0,1,17.108684,67.16417910447761,31.8407960199005,FP,0.5555555555555556
4703e3,rflags,2534397,330,masked,<hypre_ParMatmul._omp_fn.4>,mov,"mov, (%rsp),%rcx",1,0,17.214199,67.16417910447761,31.8407960199005,DATAXFER,0.0
484f33,r8,2551045,1077,masked,<hypre_IJMatrixAssembleParCSR._omp_fn.3>,sub,"sub, 0x20(%rbx),%rax",1,0,17.328028,67.16417910447761,31.8407960199005,INTEGER,0.0
425220,xmm0,2569883,51,crash,<hypre_BoomerAMGBuildMultipass._omp_fn.5>,lea,"lea, (%rbx,%rdi,8),%rsi",0,1,17.45683,67.16417910447761,31.8407960199005,INTEGER,1.0
