IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type,CrashOnSameIP
400b26,r8,40669876,2143,masked,<_Z7runTestiPPc._omp_fn.0>,add,"add, %r9,%rdx",1,0,57.454851,71.64179104477611,28.35820895522388,INTEGER,0.2962962962962963
400f07,rdx,40712259,333,crash,<_Z7runTestiPPc>,cmp,"cmp, %rdi,%rax",0,1,57.514787,72.13930348258707,27.860696517412936,CONDITION,0.3795180722891566
400b14,rflags,40812214,2727,masked,<_Z7runTestiPPc._omp_fn.0>,mov,"mov, 0x4(%rdx,%r10,4),%ecx",1,0,57.656139,72.13930348258707,27.860696517412936,DATAXFER,0.4375
400b26,rdx,40849132,192,masked,<_Z7runTestiPPc._omp_fn.0>,add,"add, %r9,%rdx",1,0,57.708347,72.13930348258707,27.860696517412936,INTEGER,0.2962962962962963
400c0e,rcx,40870969,1011,masked,<_Z7runTestiPPc._omp_fn.1>,add,"add, %r9,%rcx",1,0,57.739228,72.13930348258707,27.860696517412936,INTEGER,0.34375
400b0f,rflags,40897127,1579,masked,<_Z7runTestiPPc._omp_fn.0>,cmp,"cmp, %ecx,%esi",1,0,57.77622,72.13930348258707,27.860696517412936,CONDITION,0.4117647058823529
400c02,rdx,40909043,191,masked,<_Z7runTestiPPc._omp_fn.1>,cmovge,"cmovge, %edi,%esi",1,0,57.793071,72.636815920398,27.36318407960199,UnKnown,0.36363636363636365
400b1b,rsi,40921125,2220,masked,<_Z7runTestiPPc._omp_fn.0>,cmp,"cmp, %ecx,%esi",1,0,57.810157,72.636815920398,27.36318407960199,CONDITION,0.2857142857142857
400ddb,rflags,40985891,2462,masked,<_Z7runTestiPPc>,cmp,"cmp, %eax,%r12d",1,0,57.901746,72.13930348258707,27.860696517412936,CONDITION,0.28
400ef0,rcx,41011657,2110,masked,<_Z7runTestiPPc>,movslq,"movslq, 0x4(%r13,%rax,1),%rdx",1,0,57.938183,72.13930348258707,27.860696517412936,DATAXFER,0.34673366834170855
400ef0,rflags,41034962,1221,crash,<_Z7runTestiPPc>,movslq,"movslq, 0x4(%r13,%rax,1),%rdx",0,1,57.97114,72.636815920398,27.36318407960199,DATAXFER,0.34673366834170855
400bf1,rflags,41090435,1258,masked,<_Z7runTestiPPc._omp_fn.1>,sub,"sub, %ebx,%edi",1,0,58.049588,72.636815920398,27.36318407960199,INTEGER,0.39344262295081966
400ef5,rdi,41118472,2820,crash,<_Z7runTestiPPc>,add,"add, %rcx,%rdx",0,1,58.089237,72.13930348258707,27.860696517412936,INTEGER,0.3141025641025641
400bef,rflags,41159430,2609,crash,<_Z7runTestiPPc._omp_fn.1>,sub,"sub, %ebx,%esi",0,1,58.147158,72.636815920398,27.36318407960199,INTEGER,0.36363636363636365
400be8,rflags,41159430,2609,masked,<_Z7runTestiPPc._omp_fn.1>,mov,"mov, 0xc(%rcx,%r11,4),%esi",1,0,58.147158,72.13930348258707,27.860696517412936,DATAXFER,0.22413793103448276
400b1b,rflags,41160499,955,masked,<_Z7runTestiPPc._omp_fn.0>,cmp,"cmp, %ecx,%esi",1,0,58.14867,72.636815920398,27.36318407960199,CONDITION,0.2857142857142857
400ef0,rdx,41173309,2460,crash,<_Z7runTestiPPc>,movslq,"movslq, 0x4(%r13,%rax,1),%rdx",0,1,58.166785,72.636815920398,27.36318407960199,DATAXFER,0.34673366834170855
400ef0,rflags,41201000,2503,crash,<_Z7runTestiPPc>,movslq,"movslq, 0x4(%r13,%rax,1),%rdx",0,1,58.205945,72.636815920398,27.36318407960199,DATAXFER,0.34673366834170855
400c00,rdi,41208854,2294,masked,<_Z7runTestiPPc._omp_fn.1>,cmp,"cmp, %esi,%edi",1,0,58.217051,72.636815920398,27.36318407960199,CONDITION,0.3880597014925373
400ef0,rflags,41239965,2119,crash,<_Z7runTestiPPc>,movslq,"movslq, 0x4(%r13,%rax,1),%rdx",0,1,58.261047,72.636815920398,27.36318407960199,DATAXFER,0.34673366834170855
400bed,rdx,41266499,2247,masked,<_Z7runTestiPPc._omp_fn.1>,mov,"mov, (%rcx),%edi",1,0,58.29857,73.13432835820896,26.86567164179105,DATAXFER,0.33962264150943394
400b20,rcx,41340099,1584,masked,<_Z7runTestiPPc._omp_fn.0>,add,"add, %r9,%rdi",1,0,58.402653,73.13432835820896,26.86567164179105,INTEGER,0.45901639344262296
400b0b,rflags,41340099,1584,crash,<_Z7runTestiPPc._omp_fn.0>,sub,"sub, %ebx,%ecx",0,1,58.402653,73.6318407960199,26.3681592039801,INTEGER,0.25333333333333335
400bf1,rdx,41359574,2281,crash,<_Z7runTestiPPc._omp_fn.1>,sub,"sub, %ebx,%edi",0,1,58.430193,73.13432835820896,26.86567164179105,INTEGER,0.39344262295081966
400e43,rdx,41359574,2281,masked,<_Z7runTestiPPc>,add,"add, $0x1,%ecx",1,0,58.430193,73.13432835820896,26.86567164179105,INTEGER,0.0
400bfd,rdx,41368963,701,masked,<_Z7runTestiPPc._omp_fn.1>,add,"add, (%r8),%esi",1,0,58.443471,73.6318407960199,26.3681592039801,INTEGER,0.26
400b26,rcx,41381550,2050,masked,<_Z7runTestiPPc._omp_fn.0>,add,"add, %r9,%rdx",1,0,58.461271,73.6318407960199,26.3681592039801,INTEGER,0.2962962962962963
400be8,rax,41411036,1619,masked,<_Z7runTestiPPc._omp_fn.1>,mov,"mov, 0xc(%rcx,%r11,4),%esi",1,0,58.502969,73.13432835820896,26.86567164179105,DATAXFER,0.22413793103448276
400dd7,rflags,41413055,1908,crash,<_Z7runTestiPPc>,add,"add, $0x1,%rax",0,1,58.505824,73.13432835820896,26.86567164179105,INTEGER,0.30864197530864196
400f03,rdi,41434065,1145,masked,<_Z7runTestiPPc>,add,"add, $0x4,%rax",1,0,58.535535,72.636815920398,27.36318407960199,INTEGER,0.3673469387755102
400b04,rsi,41452177,264,masked,<_Z7runTestiPPc._omp_fn.0>,mov,"mov, 0x4(%rdx,%r11,4),%ecx",1,0,58.561149,72.636815920398,27.36318407960199,DATAXFER,0.2830188679245283
