IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Sdc,Dynamic Execution,Masked%,Crash%,Sdc%,Masked%+Sdc%,INS_type,Unnamed: 17,0x4209bb,CrashOnSameIP
420b7b,xmm1,384682770,673,crash,<HPL_setran>,mov,"mov, %rsp,%rdi",0,1,0,79.020776,24.87562189,8.955223881,66.16915423,91.04477612,DATAXFER,,,0.6458333333333334
42beb5,rsi,384720742,12300,sdc,<HPL_lmul>,movzwl,"movzwl, %si,%esi",0,0,1,79.028576,24.37810945,8.955223881,66.66666667,91.04477612,DATAXFER,,,0.0
42be98,rsi,384729655,282,sdc,<HPL_lmul>,shr,"shr, $0x10,%edi",0,0,1,79.030407,24.37810945,8.955223881,66.66666667,91.04477612,SHIFT,,,0.0
42be06,r9,384805307,733,masked,<HPL_ladd>,mov,"mov, %r11d,%ecx",1,0,0,79.045947,24.37810945,8.955223881,66.66666667,91.04477612,DATAXFER,,,0.0
42be27,rbp,384904917,5289,sdc,<HPL_ladd>,mov,"mov, %r8d,%esi",0,0,1,79.066409,24.37810945,8.457711443,67.1641791,91.54228856,DATAXFER,,,0.0
42be8f,,384937077,2777,masked,<HPL_lmul>,mov,"mov, %ebx,%edi",1,0,0,79.073015,24.37810945,8.457711443,67.1641791,91.54228856,DATAXFER,,,0.0
42be27,rbx,384941029,9466,masked,<HPL_ladd>,mov,"mov, %r8d,%esi",1,0,0,79.073827,24.87562189,8.457711443,66.66666667,91.54228856,DATAXFER,,,0.0
42bea1,rcx,384950870,8498,sdc,<HPL_lmul>,add,"add, %ebx,%esi",0,0,1,79.075849,25.37313433,8.457711443,66.16915423,91.54228856,INTEGER,,,0.0
420ac0,,384983186,6282,masked,<HPL_rand>,movsd,"movsd, 0x7d1a20(%rip),%xmm0",1,0,0,79.082487,25.37313433,8.457711443,66.16915423,91.54228856,UnKnown,,,0.0
42bf31,rsi,385071669,2541,crash,<HPL_lmul>,pop,"pop, %rbx",0,1,0,79.100663,25.87064677,8.457711443,65.67164179,91.54228856,STACK,,,0.7457627118644068
42be6d,xmm3,385142429,8117,sdc,<HPL_lmul>,movzwl,"movzwl, %r11w,%r9d",0,0,1,79.115199,25.87064677,8.457711443,65.67164179,91.54228856,DATAXFER,,,0.0
42be1a,,385171884,4225,masked,<HPL_ladd>,shr,"shr, $0x10,%esi",1,0,0,79.12125,25.87064677,8.457711443,65.67164179,91.54228856,SHIFT,,,0.0
42bead,,385199333,2356,masked,<HPL_lmul>,test,"test, %ecx,%ecx",1,0,0,79.126888,25.87064677,7.960199005,66.16915423,92.039801,CONDITION,,,0.0
42be43,rcx,385246684,3819,sdc,<HPL_lmul>,mov,"mov, 0x4(%rdi),%r8d",0,0,1,79.136615,25.37313433,7.960199005,66.66666667,92.039801,DATAXFER,,,0.0
42beb1,xmm1,385266962,3248,masked,<HPL_lmul>,mov,"mov, -0x34(%rsp,%rcx,4),%ebx",1,0,0,79.140781,25.37313433,7.960199005,66.66666667,92.039801,DATAXFER,,,0.0
42bf0c,rsi,385295139,11048,masked,<HPL_lmul>,mov,"mov, -0x1c(%rsp),%r9d",1,0,0,79.146569,25.37313433,7.960199005,66.66666667,92.039801,DATAXFER,,,0.0
42bf00,xmm0,385541830,2349,sdc,<HPL_lmul>,cmp,"cmp, $0x4,%rcx",0,0,1,79.197244,25.87064677,7.960199005,66.16915423,92.039801,CONDITION,,,0.20085470085470086
42bed1,rsi,385793891,4256,sdc,<HPL_lmul>,movzwl,"movzwl, %si,%esi",0,0,1,79.249023,25.87064677,8.457711443,65.67164179,91.54228856,DATAXFER,,,0.0
42beb8,rsp,385795243,5246,sdc,<HPL_lmul>,imul,"imul, %r11d,%ebx",0,0,1,79.249301,25.87064677,8.457711443,65.67164179,91.54228856,INTEGER,,,0.0
42bed1,rbx,385797026,11040,masked,<HPL_lmul>,movzwl,"movzwl, %si,%esi",1,0,0,79.249667,26.3681592,8.457711443,65.17412935,91.54228856,DATAXFER,,,0.0
42be36,rdi,385870858,4354,sdc,<HPL_ladd>,or,"or, %edi,%eax",0,0,1,79.264834,25.87064677,8.457711443,65.67164179,91.54228856,LOGICAL,,,0.0
42bea3,rbx,385886467,12425,sdc,<HPL_lmul>,mov,"mov, %esi,%edi",0,0,1,79.26804,25.37313433,8.457711443,66.16915423,91.54228856,DATAXFER,,,0.0
420a74,rdi,385918651,11310,sdc,<HPL_rand>,mov,"mov, $0x3,%edi",0,0,1,79.274651,25.37313433,8.457711443,66.16915423,91.54228856,DATAXFER,,,0.0
42befc,rdi,385922398,9090,crash,<HPL_lmul>,add,"add, $0x4,%rax",0,1,0,79.275421,25.37313433,8.457711443,66.16915423,91.54228856,INTEGER,,,0.5772727272727273
42bec3,r10,385929000,10870,sdc,<HPL_lmul>,shr,"shr, $0x10,%ebx",0,0,1,79.276777,25.37313433,8.457711443,66.16915423,91.54228856,SHIFT,,,0.0
420b71,r9,386004094,866,sdc,<HPL_setran>,mov,"mov, $0xe54948,%esi",0,0,1,79.292203,25.37313433,8.457711443,66.16915423,91.54228856,DATAXFER,,,0.30612244897959184
42bec8,rdi,386071901,791,masked,<HPL_lmul>,cmp,"cmp, $0x1,%ecx",1,0,0,79.306132,24.87562189,8.457711443,66.66666667,91.54228856,CONDITION,,,0.0
42be02,rcx,386119371,2320,sdc,<HPL_ladd>,shl,"shl, $0x10,%r9d",0,0,1,79.315883,24.87562189,7.960199005,67.1641791,92.039801,SHIFT,,,0.0
42bf20,r9,386199732,4515,sdc,<HPL_lmul>,shl,"shl, $0x10,%r10d",0,0,1,79.332391,24.37810945,7.960199005,67.66169154,92.039801,SHIFT,,,0.0
42bf06,rbx,386208657,11112,sdc,<HPL_lmul>,movzwl,"movzwl, -0x20(%rsp),%r11d",0,0,1,79.334224,24.87562189,7.960199005,67.1641791,92.039801,DATAXFER,,,0.0
42befc,rsi,386267644,3336,crash,<HPL_lmul>,add,"add, $0x4,%rax",0,1,0,79.346342,24.87562189,7.960199005,67.1641791,92.039801,INTEGER,,,0.5772727272727273
42be36,r15,386359559,2520,sdc,<HPL_ladd>,or,"or, %edi,%eax",0,0,1,79.365223,24.87562189,7.960199005,67.1641791,92.039801,LOGICAL,,,0.0
42bec3,r10,386402942,4524,sdc,<HPL_lmul>,shr,"shr, $0x10,%ebx",0,0,1,79.374135,25.37313433,7.960199005,66.66666667,92.039801,SHIFT,,,0.0
42bea1,,386427188,8304,sdc,<HPL_lmul>,add,"add, %ebx,%esi",0,0,1,79.379115,24.87562189,7.960199005,67.1641791,92.039801,INTEGER,,,0.0
42bf27,rsp,386454657,10571,sdc,<HPL_lmul>,or,"or, %r10d,%r8d",0,0,1,79.384758,25.37313433,7.960199005,66.66666667,92.039801,LOGICAL,,,0.0
42beec,rflags,386489791,4321,sdc,<HPL_lmul>,add,"add, %r8d,%edi",0,0,1,79.391975,25.87064677,7.960199005,66.16915423,92.039801,INTEGER,,,0.0
42bee2,rsi,386494448,12492,sdc,<HPL_lmul>,cmp,"cmp, $0x3,%ecx",0,0,1,79.392932,26.3681592,7.960199005,65.67164179,92.039801,CONDITION,,,0.0
42be8f,,386692206,6297,sdc,<HPL_lmul>,mov,"mov, %ebx,%edi",0,0,1,79.433556,26.86567164,7.960199005,65.17412935,92.039801,DATAXFER,,,0.0
42bf24,rax,386707068,817,sdc,<HPL_lmul>,or,"or, %r9d,%r11d",0,0,1,79.436608,26.86567164,7.960199005,65.17412935,92.039801,LOGICAL,,,0.0
42bee2,r9,386766243,9046,sdc,<HPL_lmul>,cmp,"cmp, $0x3,%ecx",0,0,1,79.448764,26.3681592,7.960199005,65.67164179,92.039801,CONDITION,,,0.0
42beb5,rbx,386784706,4417,masked,<HPL_lmul>,movzwl,"movzwl, %si,%esi",1,0,0,79.452557,25.87064677,7.960199005,66.16915423,92.039801,DATAXFER,,,0.0
42bea8,r9,386811445,11017,sdc,<HPL_lmul>,shr,"shr, $0x10,%edi",0,0,1,79.45805,25.87064677,7.960199005,66.16915423,92.039801,SHIFT,,,0.0
42be10,rdx,386974059,10290,sdc,<HPL_ladd>,shl,"shl, $0x10,%ecx",0,0,1,79.491454,25.87064677,7.960199005,66.16915423,92.039801,SHIFT,,,0.0
42bdf4,rbx,386994245,9212,sdc,<HPL_ladd>,movzwl,"movzwl, %ax,%r10d",0,0,1,79.495601,25.87064677,8.457711443,65.67164179,91.54228856,DATAXFER,,,0.0
42bead,rsi,387218192,6807,masked,<HPL_lmul>,test,"test, %ecx,%ecx",1,0,0,79.541604,25.87064677,7.960199005,66.16915423,92.039801,CONDITION,,,0.0
42bef3,rbx,387291470,7005,masked,<HPL_lmul>,shr,"shr, $0x10,%edi",1,0,0,79.556657,25.87064677,7.960199005,66.16915423,92.039801,SHIFT,,,0.0
420b7e,rdi,387314203,2316,crash,<HPL_setran>,mov,"mov, $0xe54938,%edx",0,1,0,79.561327,25.87064677,7.960199005,66.16915423,92.039801,DATAXFER,,,0.5555555555555556
420b7b,rbx,387408760,9334,crash,<HPL_setran>,mov,"mov, %rsp,%rdi",0,1,0,79.580751,25.87064677,7.960199005,66.16915423,92.039801,DATAXFER,,,0.6458333333333334
42bde6,rsp,387434588,1281,sdc,<HPL_ladd>,add,"add, %edi,%r8d",0,0,1,79.586056,25.87064677,7.960199005,66.16915423,92.039801,INTEGER,,,0.0
