loop_name,COUNT,CRASHC,Crash%
loop__1.csv,2254,564,0.2502
loop__12.csv,584,42,0.0719
loop__13.csv,1967,207,0.1052
loop__14.csv,2435,241,0.0990
loop__15.csv,3330,404,0.1213
loop__2.csv,2254,564,0.2502
loop__4.csv,2254,564,0.2502
loop__5.csv,2254,564,0.2502
loop__6.csv,2254,564,0.2502
loop__8.csv,1845,315,0.1707
loop__9.csv,1845,315,0.1707
