IP,CrashOnSameIP
0x403cde,0.0
0x403ced,1.0
0x403cf1,0.0
0x403cf9,1.0
0x403d04,0.0
0x403d08,0.0
0x403d0c,0.0
0x403d10,0.0
0x403d1b,0.0
0x403d24,0.0
0x403d2e,0.0
0x403d37,0.0
0x403d3b,0.0
0x403d42,0.0
0x403d48,0.0
0x403d4c,0.0
0x403d56,0.0
0x403d5e,0.6666666666666666
0x403d6b,0.3333333333333333
0x403d6e,0.5
0x403d78,0.0
0x403d7d,0.0
0x403d81,0.0
0x403d87,0.0
0x403d91,0.0
0x403d99,0.0
0x403da6,0.375
0x403da9,1.0
0x403db0,0.0
0x403db5,0.0
0x403db9,0.0
0x403dbe,0.0
0x403dc4,0.0
0x403dc8,0.0
0x403dd2,0.0
0x403dda,0.5
0x403de7,0.5714285714285714
0x403dea,0.6666666666666666
0x403df0,1.0
0x403df3,0.0
0x403df6,0.0
0x403df9,0.0
0x403dfc,0.0
0x403dff,0.6666666666666666
0x403e0c,0.0
0x403e11,0.0
0x403e2a,1.0
0x403e33,0.0
0x403e44,1.0
0x403e4e,1.0
0x403e5c,0.0
0x403e7d,0.0
0x403f50,1.0
0x403f55,0.0
0x403f5d,1.0
0x403f60,1.0
0x403f6d,1.0
0x404760,0.32894736842105265
0x404764,0.6025641025641025
0x404768,0.6578947368421053
0x40476d,0.0
0x404771,0.0
0x404775,0.2692307692307692
0x404780,0.5866276232308443
0x404784,0.0
0x40478a,0.47585513078470826
0x40478e,0.03956272774596564
0x404790,0.0
0x404795,0.0
0x4047a1,0.5205479452054794
0x4047a5,0.0
0x404f36,0.0
0x404f3b,0.0
0x404f44,0.0
0x404f4a,0.0
0x404f54,0.0
0x404f67,0.0
0x405128,0.0
0x40512d,0.0
0x405131,0.0
0x40513b,0.4803921568627451
0x40513f,0.0
0x4051c0,0.0
0x4051c5,0.0
0x4051ca,0.5411764705882353
0x4051ce,0.046875
0x4051d0,0.0
0x4051f0,0.0
0x4051f5,0.4606741573033708
0x4051f9,0.075
0x4051fb,0.0
0x4051ff,0.0
