loop_name,COUNT,CRASHC,Crash%
loop__0.csv,133,34,0.2556
loop__1.csv,135,34,0.2519
loop__10.csv,329,52,0.1581
loop__102.csv,2,0,0.0000
loop__106.csv,97,14,0.1443
loop__11.csv,166,27,0.1627
loop__113.csv,97,14,0.1443
loop__12.csv,273,48,0.1758
loop__121.csv,128,27,0.2109
loop__125.csv,2,0,0.0000
loop__129.csv,97,14,0.1443
loop__13.csv,273,48,0.1758
loop__131.csv,2,0,0.0000
loop__134.csv,2,0,0.0000
loop__135.csv,2,0,0.0000
loop__14.csv,273,48,0.1758
loop__146.csv,2,0,0.0000
loop__147.csv,127,27,0.2126
loop__15.csv,317,70,0.2208
loop__150.csv,155,35,0.2258
loop__151.csv,124,17,0.1371
loop__152.csv,155,30,0.1935
loop__153.csv,155,30,0.1935
loop__154.csv,27,3,0.1111
loop__156.csv,27,3,0.1111
loop__158.csv,27,3,0.1111
loop__159.csv,26,3,0.1154
loop__16.csv,97,14,0.1443
loop__160.csv,19,2,0.1053
loop__161.csv,16,2,0.1250
loop__162.csv,97,14,0.1443
loop__163.csv,97,14,0.1443
loop__17.csv,1,1,1.0000
loop__177.csv,97,14,0.1443
loop__178.csv,97,14,0.1443
loop__179.csv,97,14,0.1443
loop__18.csv,883,176,0.1993
loop__183.csv,135,34,0.2519
loop__185.csv,1,1,1.0000
loop__186.csv,1,1,1.0000
loop__187.csv,1,1,1.0000
loop__19.csv,128,27,0.2109
loop__197.csv,126,26,0.2063
loop__198.csv,126,26,0.2063
loop__2.csv,269,55,0.2045
loop__20.csv,128,27,0.2109
loop__200.csv,149,26,0.1745
loop__201.csv,126,26,0.2063
loop__21.csv,126,27,0.2143
loop__214.csv,126,26,0.2063
loop__219.csv,135,34,0.2519
loop__22.csv,126,27,0.2143
loop__220.csv,97,14,0.1443
loop__228.csv,1,0,0.0000
loop__23.csv,31,13,0.4194
loop__231.csv,143,26,0.1818
loop__236.csv,189,39,0.2063
loop__24.csv,31,13,0.4194
loop__25.csv,31,13,0.4194
loop__254.csv,135,34,0.2519
loop__256.csv,135,34,0.2519
loop__259.csv,97,14,0.1443
loop__26.csv,97,14,0.1443
loop__27.csv,31,13,0.4194
loop__278.csv,126,26,0.2063
loop__279.csv,128,27,0.2109
loop__28.csv,31,13,0.4194
loop__285.csv,97,14,0.1443
loop__286.csv,97,14,0.1443
loop__287.csv,97,14,0.1443
loop__29.csv,97,14,0.1443
loop__291.csv,128,27,0.2109
loop__292.csv,135,34,0.2519
loop__293.csv,97,14,0.1443
loop__294.csv,97,14,0.1443
loop__3.csv,135,34,0.2519
loop__304.csv,13,0,0.0000
loop__306.csv,4,0,0.0000
loop__309.csv,97,14,0.1443
loop__31.csv,126,27,0.2143
loop__310.csv,97,14,0.1443
loop__311.csv,580,108,0.1862
loop__312.csv,2,0,0.0000
loop__313.csv,19,4,0.2105
loop__314.csv,108,60,0.5556
loop__315.csv,77,47,0.6104
loop__316.csv,21,0,0.0000
loop__317.csv,68,28,0.4118
loop__318.csv,87,24,0.2759
loop__32.csv,97,14,0.1443
loop__320.csv,36,21,0.5833
loop__323.csv,116,25,0.2155
loop__324.csv,44,2,0.0455
loop__325.csv,66,21,0.3182
loop__327.csv,445,79,0.1775
loop__328.csv,268,45,0.1679
loop__329.csv,294,57,0.1939
loop__33.csv,29,12,0.4138
loop__330.csv,38,1,0.0263
loop__331.csv,153,29,0.1895
loop__336.csv,1,0,0.0000
loop__337.csv,1,0,0.0000
loop__338.csv,97,14,0.1443
loop__354.csv,95,14,0.1474
loop__357.csv,95,14,0.1474
loop__358.csv,95,14,0.1474
loop__36.csv,31,13,0.4194
loop__367.csv,95,14,0.1474
loop__368.csv,126,27,0.2143
loop__369.csv,95,14,0.1474
loop__370.csv,126,27,0.2143
loop__371.csv,126,27,0.2143
loop__378.csv,126,27,0.2143
loop__379.csv,126,27,0.2143
loop__38.csv,97,14,0.1443
loop__380.csv,133,34,0.2556
loop__381.csv,133,34,0.2556
loop__389.csv,126,27,0.2143
loop__390.csv,126,27,0.2143
loop__391.csv,95,14,0.1474
loop__392.csv,95,14,0.1474
loop__393.csv,95,14,0.1474
loop__394.csv,126,27,0.2143
loop__395.csv,126,27,0.2143
loop__396.csv,126,27,0.2143
loop__397.csv,126,27,0.2143
loop__398.csv,95,14,0.1474
loop__399.csv,126,27,0.2143
loop__4.csv,7,7,1.0000
loop__40.csv,269,55,0.2045
loop__409.csv,95,14,0.1474
loop__410.csv,95,14,0.1474
loop__411.csv,95,14,0.1474
loop__412.csv,95,14,0.1474
loop__413.csv,95,14,0.1474
loop__414.csv,95,14,0.1474
loop__415.csv,95,14,0.1474
loop__423.csv,126,27,0.2143
loop__428.csv,95,14,0.1474
loop__429.csv,95,14,0.1474
loop__44.csv,93,13,0.1398
loop__443.csv,89,9,0.1011
loop__444.csv,63,9,0.1429
loop__445.csv,81,25,0.3086
loop__446.csv,119,17,0.1429
loop__447.csv,102,16,0.1569
loop__448.csv,4,0,0.0000
loop__450.csv,30,13,0.4333
loop__451.csv,38,20,0.5263
loop__452.csv,31,13,0.4194
loop__453.csv,31,13,0.4194
loop__454.csv,31,13,0.4194
loop__455.csv,31,13,0.4194
loop__456.csv,31,13,0.4194
loop__457.csv,31,13,0.4194
loop__458.csv,31,13,0.4194
loop__459.csv,31,13,0.4194
loop__460.csv,31,13,0.4194
loop__461.csv,31,13,0.4194
loop__462.csv,31,13,0.4194
loop__463.csv,31,13,0.4194
loop__464.csv,31,13,0.4194
loop__465.csv,31,13,0.4194
