loop_name,COUNT,CRASHC,Crash%
loop__100.csv,76,36,0.4737
loop__101.csv,76,36,0.4737
loop__114.csv,75,36,0.4800
loop__115.csv,39,17,0.4359
loop__116.csv,39,17,0.4359
loop__117.csv,39,17,0.4359
loop__118.csv,75,36,0.4800
loop__119.csv,75,36,0.4800
loop__12.csv,1,0,0.0000
loop__121.csv,75,36,0.4800
loop__122.csv,76,36,0.4737
loop__123.csv,27,3,0.1111
loop__124.csv,27,3,0.1111
loop__125.csv,27,3,0.1111
loop__127.csv,27,3,0.1111
loop__13.csv,1,0,0.0000
loop__130.csv,27,3,0.1111
loop__131.csv,103,39,0.3786
loop__132.csv,27,3,0.1111
