0x401918
0x401920
0x401924
0x401926
0x40192a
0x40192e
0x401933
0x401936
0x401939
0x40193d
0x40193f
0x401942
0x401947
0x400b10
0x401900
0x401905
0x40190d
0x401910
0x401913
