IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
400cce,rcx,287823101,2700,crash,<_Z3runiPPc>,add,"add, $0x1,%rcx",0,1,90.957322,82.58706468,17.41293532,INTEGER
400cbf,r10,287892853,764,masked,<_Z3runiPPc>,mov,"mov, -0x4(%rbx,%rcx,4),%r10d",1,0,90.979366,82.58706468,17.41293532,DATAXFER
400ccb,rax,287930501,510,crash,<_Z3runiPPc>,mov,"mov, %rcx,%rax",0,1,90.991263,82.58706468,17.41293532,DATAXFER
400cdb,rax,287933676,3006,masked,<_Z3runiPPc>,mov,"mov, 0x4(%rbx,%rax,4),%eax",1,0,90.992267,82.58706468,17.41293532,DATAXFER
400cdf,rflags,288010983,503,masked,<_Z3runiPPc>,cmp,"cmp, %eax,%edx",1,0,91.016698,82.08955224,17.91044776,CONDITION
400cd2,r8,288126602,2832,masked,<_Z3runiPPc>,sub,"sub, $0x1,%r8d",1,0,91.053237,82.58706468,17.41293532,INTEGER
400cc7,rdx,288141863,2910,masked,<_Z3runiPPc>,cmovg,"cmovg, %r10d,%edx",1,0,91.058059,82.58706468,17.41293532,UnKnown
400ce4,rdx,288463512,3404,masked,<_Z3runiPPc>,add,"add, (%rdi,%r9,1),%edx",1,0,91.159709,82.08955224,17.91044776,INTEGER
400cc4,rflags,288471480,1058,masked,<_Z3runiPPc>,cmp,"cmp, %r10d,%edx",1,0,91.162227,82.58706468,17.41293532,CONDITION
400ccb,rax,288536196,2455,crash,<_Z3runiPPc>,mov,"mov, %rcx,%rax",0,1,91.182679,83.08457711,16.91542289,DATAXFER
400cdf,rflags,288598550,3472,masked,<_Z3runiPPc>,cmp,"cmp, %eax,%edx",1,0,91.202385,83.08457711,16.91542289,CONDITION
400cb2,r9,288688534,4722,crash,<_Z3runiPPc>,lea,"lea, 0x0(,%rcx,4),%r9",0,1,91.230822,83.08457711,16.91542289,INTEGER
400cc7,rdx,288741821,4751,masked,<_Z3runiPPc>,cmovg,"cmovg, %r10d,%edx",1,0,91.247662,82.58706468,17.41293532,UnKnown
400cf0,r8,288856971,1482,masked,<_Z3runiPPc>,mov,"mov, 0x2013d1(%rip),%r8d",1,0,91.284053,83.08457711,16.91542289,DATAXFER
400ccb,rax,288894943,3198,crash,<_Z3runiPPc>,mov,"mov, %rcx,%rax",0,1,91.296053,83.08457711,16.91542289,DATAXFER
400cd6,rflags,288894962,3123,masked,<_Z3runiPPc>,cmp,"cmp, %r8d,%esi",1,0,91.296059,83.08457711,16.91542289,CONDITION
400ce4,rdx,288919873,4306,masked,<_Z3runiPPc>,add,"add, (%rdi,%r9,1),%edx",1,0,91.303931,83.08457711,16.91542289,INTEGER
400ccb,rax,288954725,3838,crash,<_Z3runiPPc>,mov,"mov, %rcx,%rax",0,1,91.314945,83.08457711,16.91542289,DATAXFER
400ce1,rdx,289205826,884,masked,<_Z3runiPPc>,cmovg,"cmovg, %eax,%edx",1,0,91.3943,83.08457711,16.91542289,UnKnown
400ce4,rdx,289213848,3423,masked,<_Z3runiPPc>,add,"add, (%rdi,%r9,1),%edx",1,0,91.396835,83.08457711,16.91542289,INTEGER
400ccb,rax,289239618,1763,crash,<_Z3runiPPc>,mov,"mov, %rcx,%rax",0,1,91.404979,83.08457711,16.91542289,DATAXFER
400cf0,r8,289254156,2601,masked,<_Z3runiPPc>,mov,"mov, 0x2013d1(%rip),%r8d",1,0,91.409574,83.08457711,16.91542289,DATAXFER
400ce4,rdx,289271370,4933,masked,<_Z3runiPPc>,add,"add, (%rdi,%r9,1),%edx",1,0,91.415014,83.08457711,16.91542289,INTEGER
400cba,rdx,289378577,4019,masked,<_Z3runiPPc>,mov,"mov, (%rbx,%rcx,4),%edx",1,0,91.448894,83.08457711,16.91542289,DATAXFER
400cdb,rax,289382511,1658,masked,<_Z3runiPPc>,mov,"mov, 0x4(%rbx,%rax,4),%eax",1,0,91.450137,82.58706468,17.41293532,DATAXFER
400cba,rdx,289404466,78,masked,<_Z3runiPPc>,mov,"mov, (%rbx,%rcx,4),%edx",1,0,91.457076,83.08457711,16.91542289,DATAXFER
400cc4,rflags,289422991,1433,masked,<_Z3runiPPc>,cmp,"cmp, %r10d,%edx",1,0,91.46293,83.08457711,16.91542289,CONDITION
400cbf,r10,289467458,2987,masked,<_Z3runiPPc>,mov,"mov, -0x4(%rbx,%rcx,4),%r10d",1,0,91.476983,83.08457711,16.91542289,DATAXFER
400cd6,rflags,289588595,1292,masked,<_Z3runiPPc>,cmp,"cmp, %r8d,%esi",1,0,91.515265,83.08457711,16.91542289,CONDITION
400cce,rcx,289607324,3780,crash,<_Z3runiPPc>,add,"add, $0x1,%rcx",0,1,91.521184,83.08457711,16.91542289,INTEGER
400ccb,rax,289615256,388,crash,<_Z3runiPPc>,mov,"mov, %rcx,%rax",0,1,91.523691,83.08457711,16.91542289,DATAXFER
400cb0,rflags,289660059,2472,masked,<_Z3runiPPc>,test,"test, %esi,%esi",1,0,91.53785,83.08457711,16.91542289,CONDITION
400ccb,rax,289664986,3055,crash,<_Z3runiPPc>,mov,"mov, %rcx,%rax",0,1,91.539407,83.08457711,16.91542289,DATAXFER
400cd2,r8,289671883,744,masked,<_Z3runiPPc>,sub,"sub, $0x1,%r8d",1,0,91.541586,83.08457711,16.91542289,INTEGER
400cb0,rflags,289861003,405,masked,<_Z3runiPPc>,test,"test, %esi,%esi",1,0,91.601353,83.08457711,16.91542289,CONDITION
400ccb,rax,289876739,3354,crash,<_Z3runiPPc>,mov,"mov, %rcx,%rax",0,1,91.606326,83.08457711,16.91542289,DATAXFER
400cdf,rflags,290026963,37,crash,<_Z3runiPPc>,cmp,"cmp, %eax,%edx",0,1,91.653801,83.58208955,16.41791045,CONDITION
400cba,rdx,290072212,1973,masked,<_Z3runiPPc>,mov,"mov, (%rbx,%rcx,4),%edx",1,0,91.668101,83.08457711,16.91542289,DATAXFER
400cdb,rax,290134076,3315,masked,<_Z3runiPPc>,mov,"mov, 0x4(%rbx,%rax,4),%eax",1,0,91.687652,83.08457711,16.91542289,DATAXFER
400cdf,rflags,290183420,2773,masked,<_Z3runiPPc>,cmp,"cmp, %eax,%edx",1,0,91.703246,83.08457711,16.91542289,CONDITION
400ce8,rsi,290288728,3166,masked,<_Z3runiPPc>,add,"add, $0x1,%esi",1,0,91.736526,82.58706468,17.41293532,INTEGER
400cc7,rdx,290316729,2982,masked,<_Z3runiPPc>,cmovg,"cmovg, %r10d,%edx",1,0,91.745375,82.58706468,17.41293532,UnKnown
400cc7,rdx,290371327,2687,masked,<_Z3runiPPc>,cmovg,"cmovg, %r10d,%edx",1,0,91.762629,83.08457711,16.91542289,UnKnown
400cdf,rflags,290401061,3010,masked,<_Z3runiPPc>,cmp,"cmp, %eax,%edx",1,0,91.772026,83.08457711,16.91542289,CONDITION
400cdf,rflags,290456801,1791,masked,<_Z3runiPPc>,cmp,"cmp, %eax,%edx",1,0,91.789641,83.08457711,16.91542289,CONDITION
400cd6,rflags,290523921,1430,masked,<_Z3runiPPc>,cmp,"cmp, %r8d,%esi",1,0,91.810853,83.08457711,16.91542289,CONDITION
400cdf,rflags,290564796,1824,masked,<_Z3runiPPc>,cmp,"cmp, %eax,%edx",1,0,91.823771,83.08457711,16.91542289,CONDITION
400cd6,rflags,290693891,3311,masked,<_Z3runiPPc>,cmp,"cmp, %r8d,%esi",1,0,91.864568,83.08457711,16.91542289,CONDITION
400cb2,r9,290748215,1289,crash,<_Z3runiPPc>,lea,"lea, 0x0(,%rcx,4),%r9",0,1,91.881736,83.58208955,16.41791045,INTEGER
400ce8,rsi,290830521,672,masked,<_Z3runiPPc>,add,"add, $0x1,%esi",1,0,91.907747,83.58208955,16.41791045,INTEGER
400cd2,r8,290842618,650,masked,<_Z3runiPPc>,sub,"sub, $0x1,%r8d",1,0,91.91157,83.58208955,16.41791045,INTEGER
400cd6,rflags,290849181,2050,masked,<_Z3runiPPc>,cmp,"cmp, %r8d,%esi",1,0,91.913644,83.58208955,16.41791045,CONDITION
400cbf,r10,290859403,3461,masked,<_Z3runiPPc>,mov,"mov, -0x4(%rbx,%rcx,4),%r10d",1,0,91.916874,83.58208955,16.41791045,DATAXFER
400cce,rcx,291033057,4696,crash,<_Z3runiPPc>,add,"add, $0x1,%rcx",0,1,91.971753,83.08457711,16.91542289,INTEGER
400cba,rdx,291042870,1408,masked,<_Z3runiPPc>,mov,"mov, (%rbx,%rcx,4),%edx",1,0,91.974855,83.08457711,16.91542289,DATAXFER
400ce1,rdx,291093413,580,masked,<_Z3runiPPc>,cmovg,"cmovg, %eax,%edx",1,0,91.990828,83.08457711,16.91542289,UnKnown
400ccb,rax,291266120,1690,crash,<_Z3runiPPc>,mov,"mov, %rcx,%rax",0,1,92.045408,83.58208955,16.41791045,DATAXFER
400ce1,rdx,291284854,4012,masked,<_Z3runiPPc>,cmovg,"cmovg, %eax,%edx",1,0,92.051328,83.58208955,16.41791045,UnKnown
400cdb,rax,291293880,3041,masked,<_Z3runiPPc>,mov,"mov, 0x4(%rbx,%rax,4),%eax",1,0,92.05418,83.58208955,16.41791045,DATAXFER
400cdf,rflags,291525692,2610,masked,<_Z3runiPPc>,cmp,"cmp, %eax,%edx",1,0,92.127439,83.58208955,16.41791045,CONDITION
400cbf,r10,291625820,4328,masked,<_Z3runiPPc>,mov,"mov, -0x4(%rbx,%rcx,4),%r10d",1,0,92.159082,83.58208955,16.41791045,DATAXFER
400cba,rdx,291647813,4978,masked,<_Z3runiPPc>,mov,"mov, (%rbx,%rcx,4),%edx",1,0,92.166033,84.07960199,15.92039801,DATAXFER
400cc4,rflags,291832150,576,masked,<_Z3runiPPc>,cmp,"cmp, %r10d,%edx",1,0,92.224288,84.07960199,15.92039801,CONDITION
400ccb,rax,291852200,4367,crash,<_Z3runiPPc>,mov,"mov, %rcx,%rax",0,1,92.230624,84.07960199,15.92039801,DATAXFER
400cb0,rflags,291873248,1840,masked,<_Z3runiPPc>,test,"test, %esi,%esi",1,0,92.237276,84.57711443,15.42288557,CONDITION
400cd6,rflags,291936287,1351,masked,<_Z3runiPPc>,cmp,"cmp, %r8d,%esi",1,0,92.257198,84.57711443,15.42288557,CONDITION
400cba,rdx,292074281,905,masked,<_Z3runiPPc>,mov,"mov, (%rbx,%rcx,4),%edx",1,0,92.300808,84.07960199,15.92039801,DATAXFER
400cc7,rdx,292093060,4763,masked,<_Z3runiPPc>,cmovg,"cmovg, %r10d,%edx",1,0,92.306743,84.07960199,15.92039801,UnKnown
400cdf,rflags,292233484,3906,masked,<_Z3runiPPc>,cmp,"cmp, %eax,%edx",1,0,92.35112,84.07960199,15.92039801,CONDITION
400cd6,rflags,292249360,4231,masked,<_Z3runiPPc>,cmp,"cmp, %r8d,%esi",1,0,92.356137,84.07960199,15.92039801,CONDITION
400cf0,r8,292653066,4679,masked,<_Z3runiPPc>,mov,"mov, 0x2013d1(%rip),%r8d",1,0,92.483719,84.07960199,15.92039801,DATAXFER
400cd2,r8,292675801,4573,masked,<_Z3runiPPc>,sub,"sub, $0x1,%r8d",1,0,92.490904,84.07960199,15.92039801,INTEGER
400cce,rcx,292826223,2444,crash,<_Z3runiPPc>,add,"add, $0x1,%rcx",0,1,92.538441,84.07960199,15.92039801,INTEGER
400ce8,rsi,292855490,3936,masked,<_Z3runiPPc>,add,"add, $0x1,%esi",1,0,92.547691,84.07960199,15.92039801,INTEGER
400cba,rdx,292999172,3204,masked,<_Z3runiPPc>,mov,"mov, (%rbx,%rcx,4),%edx",1,0,92.593098,84.07960199,15.92039801,DATAXFER
400ce4,rdx,293064707,3475,masked,<_Z3runiPPc>,add,"add, (%rdi,%r9,1),%edx",1,0,92.613809,83.58208955,16.41791045,INTEGER
400cbf,r10,293202634,4764,masked,<_Z3runiPPc>,mov,"mov, -0x4(%rbx,%rcx,4),%r10d",1,0,92.657397,83.58208955,16.41791045,DATAXFER
400cd2,r8,293277846,1664,masked,<_Z3runiPPc>,sub,"sub, $0x1,%r8d",1,0,92.681166,83.58208955,16.41791045,INTEGER
400ce8,rsi,293317526,3289,crash,<_Z3runiPPc>,add,"add, $0x1,%esi",0,1,92.693706,83.58208955,16.41791045,INTEGER
400cd2,r8,293333583,4151,masked,<_Z3runiPPc>,sub,"sub, $0x1,%r8d",1,0,92.698781,83.08457711,16.91542289,INTEGER
400cd2,r8,293339153,2793,masked,<_Z3runiPPc>,sub,"sub, $0x1,%r8d",1,0,92.700541,83.08457711,16.91542289,INTEGER
400cbf,r10,293392348,1105,masked,<_Z3runiPPc>,mov,"mov, -0x4(%rbx,%rcx,4),%r10d",1,0,92.717352,83.08457711,16.91542289,DATAXFER
400cf7,rflags,293443413,3924,masked,<_Z3runiPPc>,cmp,"cmp, %esi,%r8d",1,0,92.73349,83.08457711,16.91542289,CONDITION
400cc7,rdx,293467425,4031,masked,<_Z3runiPPc>,cmovg,"cmovg, %r10d,%edx",1,0,92.741078,82.58706468,17.41293532,UnKnown
400cf7,rflags,293515588,349,masked,<_Z3runiPPc>,cmp,"cmp, %esi,%r8d",1,0,92.756299,82.58706468,17.41293532,CONDITION
400cdb,rax,293570664,2399,masked,<_Z3runiPPc>,mov,"mov, 0x4(%rbx,%rax,4),%eax",1,0,92.773705,82.58706468,17.41293532,DATAXFER
400cba,rdx,293685303,1349,masked,<_Z3runiPPc>,mov,"mov, (%rbx,%rcx,4),%edx",1,0,92.809934,83.08457711,16.91542289,DATAXFER
400cdb,rax,293694442,1270,masked,<_Z3runiPPc>,mov,"mov, 0x4(%rbx,%rax,4),%eax",1,0,92.812822,83.08457711,16.91542289,DATAXFER
400cdb,rax,293745508,4130,masked,<_Z3runiPPc>,mov,"mov, 0x4(%rbx,%rax,4),%eax",1,0,92.82896,83.08457711,16.91542289,DATAXFER
400ce4,rdx,293892146,2977,masked,<_Z3runiPPc>,add,"add, (%rdi,%r9,1),%edx",1,0,92.875301,83.08457711,16.91542289,INTEGER
400cf0,r8,293940771,2944,masked,<_Z3runiPPc>,mov,"mov, 0x2013d1(%rip),%r8d",1,0,92.890668,83.08457711,16.91542289,DATAXFER
400ce1,rdx,293974048,3696,masked,<_Z3runiPPc>,cmovg,"cmovg, %eax,%edx",1,0,92.901185,83.08457711,16.91542289,UnKnown
400cba,rdx,293986063,3818,masked,<_Z3runiPPc>,mov,"mov, (%rbx,%rcx,4),%edx",1,0,92.904982,83.08457711,16.91542289,DATAXFER
400cdb,rax,294062173,868,masked,<_Z3runiPPc>,mov,"mov, 0x4(%rbx,%rax,4),%eax",1,0,92.929034,83.08457711,16.91542289,DATAXFER
400cdb,rax,294070163,1545,masked,<_Z3runiPPc>,mov,"mov, 0x4(%rbx,%rax,4),%eax",1,0,92.93156,83.08457711,16.91542289,DATAXFER
400ccb,rax,294112980,1544,crash,<_Z3runiPPc>,mov,"mov, %rcx,%rax",0,1,92.945091,83.08457711,16.91542289,DATAXFER
400cf0,r8,294209992,3170,masked,<_Z3runiPPc>,mov,"mov, 0x2013d1(%rip),%r8d",1,0,92.975749,83.08457711,16.91542289,DATAXFER
400cba,rdx,294376062,225,masked,<_Z3runiPPc>,mov,"mov, (%rbx,%rcx,4),%edx",1,0,93.028232,82.58706468,17.41293532,DATAXFER
400cd6,rflags,294428427,967,masked,<_Z3runiPPc>,cmp,"cmp, %r8d,%esi",1,0,93.04478,82.58706468,17.41293532,CONDITION
400cce,rcx,294469826,1821,crash,<_Z3runiPPc>,add,"add, $0x1,%rcx",0,1,93.057864,83.08457711,16.91542289,INTEGER
400cbf,r10,294495941,308,masked,<_Z3runiPPc>,mov,"mov, -0x4(%rbx,%rcx,4),%r10d",1,0,93.066117,82.58706468,17.41293532,DATAXFER
