IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
401175,rax,87176762,2936,masked,<lud_omp._omp_fn.0>,add,"add, $0x1,%rax",1,0,32.170942,82.58706468,17.41293532,INTEGER
401180,rflags,87217948,5246,masked,<lud_omp._omp_fn.0>,cmp,"cmp, %eax,%ebx",1,0,32.186144,82.58706468,17.41293532,CONDITION
401170,xmm0,87223067,8823,masked,<lud_omp._omp_fn.0>,movss,"movss, (%rcx,%rax,4),%xmm0",1,0,32.188033,82.58706468,17.41293532,DATAXFER
401175,rax,87240249,4099,crash,<lud_omp._omp_fn.0>,add,"add, $0x1,%rax",0,1,32.194375,82.08955224,17.91044776,INTEGER
40117d,rdx,87253762,1871,masked,<lud_omp._omp_fn.0>,add,"add, %rsi,%rdx",1,0,32.199363,82.08955224,17.91044776,INTEGER
401175,rax,87264203,6458,masked,<lud_omp._omp_fn.0>,add,"add, $0x1,%rax",1,0,32.203217,82.08955224,17.91044776,INTEGER
401175,rax,87325973,3533,masked,<lud_omp._omp_fn.0>,add,"add, $0x1,%rax",1,0,32.226016,82.08955224,17.91044776,INTEGER
4010a5,rax,87369923,14822,crash,<lud_omp._omp_fn.1>,add,"add, $0x1,%rax",0,1,32.242238,81.5920398,18.4079602,INTEGER
4010ad,rdx,87402921,7970,masked,<lud_omp._omp_fn.1>,add,"add, %rsi,%rdx",1,0,32.254418,81.5920398,18.4079602,INTEGER
4010a5,rax,87447551,7745,masked,<lud_omp._omp_fn.1>,add,"add, $0x1,%rax",1,0,32.270891,81.09452736,18.90547264,INTEGER
4010b2,xmm1,87450687,12091,masked,<lud_omp._omp_fn.1>,subss,"subss, %xmm0,%xmm1",1,0,32.272049,81.09452736,18.90547264,FP
4010a5,rax,87485387,8386,masked,<lud_omp._omp_fn.1>,add,"add, $0x1,%rax",1,0,32.284856,80.59701493,19.40298507,INTEGER
4010a0,xmm0,87544744,12284,masked,<lud_omp._omp_fn.1>,movss,"movss, (%rcx,%rax,4),%xmm0",1,0,32.306765,80.59701493,19.40298507,DATAXFER
4010b2,xmm1,87568899,1943,masked,<lud_omp._omp_fn.1>,subss,"subss, %xmm0,%xmm1",1,0,32.315681,80.59701493,19.40298507,FP
4010b2,xmm1,87572079,10108,masked,<lud_omp._omp_fn.1>,subss,"subss, %xmm0,%xmm1",1,0,32.316855,80.59701493,19.40298507,FP
