IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
400bda,xmm1,195761,3660,masked,<main>,movsd,"movsd, 0x38(%rcx),%xmm1",1,0,43.346581,82.58706467661692,17.412935323383085,UnKnown
400bf0,r13,195949,3877,masked,<main>,add,"add, $0x31,%r13",1,0,43.38823,82.08955223880596,17.91044776119403,INTEGER
400bb1,xmm0,196010,2994,masked,<main>,unpcklpd,"unpcklpd, %xmm0,%xmm0",1,0,43.401744,82.58706467661692,17.412935323383085,UnKnown
400b29,rdi,196150,2629,masked,<main>,mov,"mov, %r14,%rdi",1,0,43.432759,82.58706467661692,17.412935323383085,DATAXFER
400ba0,xmm2,196170,1342,masked,<main>,unpcklps,"unpcklps, %xmm2,%xmm2",1,0,43.43719,82.58706467661692,17.412935323383085,UnKnown
400ba8,xmm1,196202,1635,masked,<main>,cvtps2pd,"cvtps2pd, %xmm2,%xmm1",1,0,43.444279,82.58706467661692,17.412935323383085,CONVERT
400bc3,rflags,196301,4982,masked,<main>,cmp,"cmp, %r15d,%eax",1,0,43.466211,82.58706467661692,17.412935323383085,CONDITION
400bbf,rdx,196307,2315,masked,<main>,add,"add, $0x40,%rdx",1,0,43.46754,83.08457711442786,16.915422885572138,INTEGER
400ba3,xmm0,196447,4511,masked,<main>,movsd,"movsd, 0x38(%rdx),%xmm0",1,0,43.498556,83.08457711442786,16.915422885572138,UnKnown
400b3d,xmm1,196521,1418,masked,<main>,subss,"subss, (%rsp),%xmm1",1,0,43.514949,83.08457711442786,16.915422885572138,FP
400b8e,rax,196536,1015,crash,<main>,xor,"xor, %eax,%eax",0,1,43.518272,82.58706467661692,17.412935323383085,LOGICAL
400bb1,xmm0,196634,4057,masked,<main>,unpcklpd,"unpcklpd, %xmm0,%xmm0",1,0,43.539983,82.58706467661692,17.412935323383085,UnKnown
400b80,rflags,196809,1033,masked,<main>,test,"test, %r15d,%r15d",1,0,43.578752,82.58706467661692,17.412935323383085,CONDITION
400bc3,rflags,196860,902,masked,<main>,cmp,"cmp, %r15d,%eax",1,0,43.59005,82.08955223880596,17.91044776119403,CONDITION
400bdf,xmm0,196866,912,masked,<main>,cvtps2pd,"cvtps2pd, %xmm0,%xmm0",1,0,43.59138,82.08955223880596,17.91044776119403,CONVERT
400bf4,rflags,197054,2811,masked,<main>,cmp,"cmp, %edx,%ebx",1,0,43.633028,82.08955223880596,17.91044776119403,CONDITION
400bab,rflags,197093,3530,masked,<main>,ucomisd,"ucomisd, %xmm1,%xmm0",1,0,43.641668,82.08955223880596,17.91044776119403,CONDITION
400bd6,rdx,197140,2118,masked,<main>,lea,"lea, 0x1(%r14),%edx",1,0,43.652081,82.08955223880596,17.91044776119403,INTEGER
400bdf,xmm0,197142,191,masked,<main>,cvtps2pd,"cvtps2pd, %xmm0,%xmm0",1,0,43.652524,81.59203980099502,18.40796019900497,CONVERT
400bab,rflags,197225,3768,masked,<main>,ucomisd,"ucomisd, %xmm1,%xmm0",1,0,43.670911,82.08955223880596,17.91044776119403,CONDITION
400b89,rdx,197270,3638,crash,<main>,mov,"mov, %r12,%rdx",0,1,43.68088,82.08955223880596,17.91044776119403,DATAXFER
400bc3,rflags,197467,117,masked,<main>,cmp,"cmp, %r15d,%eax",1,0,43.724523,82.08955223880596,17.91044776119403,CONDITION
400ba3,xmm0,197591,4922,masked,<main>,movsd,"movsd, 0x38(%rdx),%xmm0",1,0,43.751994,82.08955223880596,17.91044776119403,UnKnown
400b29,rdi,197622,1024,crash,<main>,mov,"mov, %r14,%rdi",0,1,43.758861,82.08955223880596,17.91044776119403,DATAXFER
400bf8,rax,197699,3907,masked,<main>,mov,"mov, 0x14(%rsp),%eax",1,0,43.77592,82.08955223880596,17.91044776119403,DATAXFER
400b1d,rdx,197711,831,crash,<main>,lea,"lea, 0x38(%rsp),%rdx",0,1,43.778578,82.08955223880596,17.91044776119403,INTEGER
400bc3,rflags,197743,4180,masked,<main>,cmp,"cmp, %r15d,%eax",1,0,43.785667,82.08955223880596,17.91044776119403,CONDITION
400ba8,xmm1,197776,4330,masked,<main>,cvtps2pd,"cvtps2pd, %xmm2,%xmm1",1,0,43.792978,82.08955223880596,17.91044776119403,CONVERT
400ae0,rdi,197794,3932,masked,<main>,lea,"lea, 0x40(%rsp),%rdi",1,0,43.796966,82.08955223880596,17.91044776119403,INTEGER
400bbf,rdx,197844,843,crash,<main>,add,"add, $0x40,%rdx",0,1,43.808043,82.08955223880596,17.91044776119403,INTEGER
400af4,rflags,197889,3440,masked,<main>,cmp,"cmp, $0x1,%eax",1,0,43.818012,82.08955223880596,17.91044776119403,CONDITION
400b1d,rdx,197987,1764,crash,<main>,lea,"lea, 0x38(%rsp),%rdx",0,1,43.839722,82.08955223880596,17.91044776119403,INTEGER
400ba8,xmm1,198032,3771,masked,<main>,cvtps2pd,"cvtps2pd, %xmm2,%xmm1",1,0,43.849692,81.59203980099502,18.40796019900497,CONVERT
400ba0,xmm2,198050,1973,masked,<main>,unpcklps,"unpcklps, %xmm2,%xmm2",1,0,43.853679,81.59203980099502,18.40796019900497,UnKnown
400ba0,xmm2,198102,490,masked,<main>,unpcklps,"unpcklps, %xmm2,%xmm2",1,0,43.865199,81.59203980099502,18.40796019900497,UnKnown
400ba0,xmm2,198132,1470,masked,<main>,unpcklps,"unpcklps, %xmm2,%xmm2",1,0,43.871845,81.59203980099502,18.40796019900497,UnKnown
400bb1,xmm0,198382,4740,masked,<main>,unpcklpd,"unpcklpd, %xmm0,%xmm0",1,0,43.92723,81.09452736318408,18.90547263681592,UnKnown
400bbc,rax,198415,3947,masked,<main>,add,"add, $0x1,%eax",1,0,43.93454,81.09452736318408,18.90547263681592,INTEGER
400ba0,xmm2,198500,2892,masked,<main>,unpcklps,"unpcklps, %xmm2,%xmm2",1,0,43.953371,81.09452736318408,18.90547263681592,UnKnown
400bc3,rflags,198700,2567,masked,<main>,cmp,"cmp, %r15d,%eax",1,0,43.997678,80.59701492537313,19.402985074626866,CONDITION
400bd3,rcx,198887,3866,crash,<main>,add,"add, %r12,%rcx",0,1,44.039106,80.59701492537313,19.402985074626866,INTEGER
400b70,rflags,198922,4081,masked,<main>,cmp,"cmp, %r13d,%ebx",1,0,44.046859,80.59701492537313,19.402985074626866,CONDITION
400b31,xmm1,199095,3262,masked,<main>,movss,"movss, 0x38(%rsp),%xmm1",1,0,44.085185,80.59701492537313,19.402985074626866,DATAXFER
400b68,r13,199104,4095,masked,<main>,add,"add, $0x1,%r13",1,0,44.087179,80.59701492537313,19.402985074626866,INTEGER
400bbc,rax,199121,4383,masked,<main>,add,"add, $0x1,%eax",1,0,44.090945,80.59701492537313,19.402985074626866,INTEGER
400bbf,rdx,199343,1082,masked,<main>,add,"add, $0x40,%rdx",1,0,44.140127,81.09452736318408,18.90547263681592,INTEGER
400cc0,rdx,199352,422,masked,<main>,lea,"lea, 0x1(%r14),%edx",1,0,44.14212,81.09452736318408,18.90547263681592,INTEGER
400b29,rdi,199553,3179,crash,<main>,mov,"mov, %r14,%rdi",0,1,44.186649,81.59203980099502,18.40796019900497,DATAXFER
400ba0,xmm2,199751,3046,masked,<main>,unpcklps,"unpcklps, %xmm2,%xmm2",1,0,44.230514,81.59203980099502,18.40796019900497,UnKnown
400b24,rsi,199819,4556,masked,<main>,mov,"mov, $0x40104e,%esi",1,0,44.245578,81.59203980099502,18.40796019900497,DATAXFER
400ae0,rdi,199986,1613,crash,<main>,lea,"lea, 0x40(%rsp),%rdi",0,1,44.282575,81.59203980099502,18.40796019900497,INTEGER
400b0f,r13,200082,4142,masked,<main>,xor,"xor, %r13d,%r13d",1,0,44.303842,81.59203980099502,18.40796019900497,LOGICAL
400ba3,xmm0,200405,4149,masked,<main>,movsd,"movsd, 0x38(%rdx),%xmm0",1,0,44.375399,81.59203980099502,18.40796019900497,UnKnown
400bab,rflags,200555,1669,masked,<main>,ucomisd,"ucomisd, %xmm1,%xmm0",1,0,44.408629,81.59203980099502,18.40796019900497,CONDITION
400ba0,xmm2,200641,1102,masked,<main>,unpcklps,"unpcklps, %xmm2,%xmm2",1,0,44.427681,81.09452736318408,18.90547263681592,UnKnown
400ba3,xmm0,200751,2407,masked,<main>,movsd,"movsd, 0x38(%rdx),%xmm0",1,0,44.452051,81.09452736318408,18.90547263681592,UnKnown
400b50,xmm1,200806,3173,masked,<main>,addss,"addss, %xmm0,%xmm1",1,0,44.464235,81.09452736318408,18.90547263681592,FP
400bc3,rflags,200838,1975,masked,<main>,cmp,"cmp, %r15d,%eax",1,0,44.471324,81.59203980099502,18.40796019900497,CONDITION
400bab,rflags,201030,262,masked,<main>,ucomisd,"ucomisd, %xmm1,%xmm0",1,0,44.513859,81.59203980099502,18.40796019900497,CONDITION
400bb1,xmm0,201100,3319,masked,<main>,unpcklpd,"unpcklpd, %xmm0,%xmm0",1,0,44.529367,81.59203980099502,18.40796019900497,UnKnown
400bbf,rdx,201371,4186,crash,<main>,add,"add, $0x40,%rdx",0,1,44.589403,81.59203980099502,18.40796019900497,INTEGER
400bbf,rdx,201388,2717,masked,<main>,add,"add, $0x40,%rdx",1,0,44.59317,81.59203980099502,18.40796019900497,INTEGER
400bf4,rflags,201406,3165,masked,<main>,cmp,"cmp, %edx,%ebx",1,0,44.597157,81.59203980099502,18.40796019900497,CONDITION
400b3d,xmm1,201514,4100,masked,<main>,subss,"subss, (%rsp),%xmm1",1,0,44.621083,81.59203980099502,18.40796019900497,FP
400bb5,rcx,201546,1289,masked,<main>,movslq,"movslq, %eax,%rcx",1,0,44.628172,81.59203980099502,18.40796019900497,DATAXFER
400b3d,xmm1,201603,4937,masked,<main>,subss,"subss, (%rsp),%xmm1",1,0,44.6408,81.59203980099502,18.40796019900497,FP
400bc3,rflags,201649,3721,masked,<main>,cmp,"cmp, %r15d,%eax",1,0,44.650991,81.59203980099502,18.40796019900497,CONDITION
400b48,xmm1,201872,1978,masked,<main>,mulss,"mulss, %xmm1,%xmm1",1,0,44.700393,81.59203980099502,18.40796019900497,FP
