IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
400fe4,xmm0,13414580,758,masked,<bpnn_randomize_weights>,lea,"lea, (%rax,%rbx,4),%rbp",1,0,7.683163,66.16915422885572,33.83084577114428,INTEGER
401d51,rbx,13530844,1444,crash,<load>,mulss,"mulss, 0x337(%rip),%xmm0",0,1,7.750042,66.16915422885572,33.83084577114428,FP
400cbe,rbp,13537796,1963,masked,<bpnn_adjust_weights._omp_fn.1>,add,"add, (%r9,%rax,8),%rdx",1,0,7.754041,65.67164179104478,34.32835820895522,INTEGER
400f24,rbx,13554993,856,crash,<alloc_1d_dbl>,pop,"pop, %rbx",0,1,7.763934,66.16915422885572,33.83084577114428,STACK
400fe4,rcx,13563560,3358,masked,<bpnn_randomize_weights>,lea,"lea, (%rax,%rbx,4),%rbp",1,0,7.768862,66.66666666666667,33.333333333333336,INTEGER
400ce4,xmm0,13613843,900,crash,<bpnn_adjust_weights._omp_fn.1>,mulsd,"mulsd, %xmm2,%xmm1",0,1,7.797787,66.66666666666667,33.333333333333336,FP
4012e7,rsp,13654130,2845,masked,<bpnn_create>,add,"add, $0x1,%rcx",1,0,7.820961,67.16417910447761,32.83582089552239,INTEGER
400cc2,rdx,13723321,1440,masked,<bpnn_adjust_weights._omp_fn.1>,mov,"mov, %rsi,%rcx",1,0,7.860763,67.16417910447761,32.83582089552239,DATAXFER
400da6,rcx,13802729,3310,masked,<bpnn_layerforward._omp_fn.0>,add,"add, $0x1,%rax",1,0,7.906442,66.66666666666667,33.333333333333336,INTEGER
400fe8,rflags,13986617,2935,crash,<bpnn_randomize_weights>,add,"add, $0x1,%rbx",0,1,8.012221,67.16417910447761,32.83582089552239,INTEGER
400fe4,rdx,14055556,4368,masked,<bpnn_randomize_weights>,lea,"lea, (%rax,%rbx,4),%rbp",1,0,8.051878,67.16417910447761,32.83582089552239,INTEGER
4012eb,rbx,14075232,4151,crash,<bpnn_create>,cmp,"cmp, %ecx,%ebx",0,1,8.063196,67.16417910447761,32.83582089552239,CONDITION
