loop_name,COUNT,CRASHC,Crash%
loop__0.csv,957,197,0.2059
loop__1.csv,134,33,0.2463
loop__10.csv,132,33,0.2500
loop__103.csv,95,14,0.1474
loop__104.csv,96,15,0.1562
loop__105.csv,95,14,0.1474
loop__107.csv,132,33,0.2500
loop__11.csv,132,33,0.2500
loop__112.csv,133,33,0.2481
loop__12.csv,132,33,0.2500
loop__129.csv,132,33,0.2500
loop__13.csv,132,33,0.2500
loop__130.csv,96,14,0.1458
loop__133.csv,132,33,0.2500
loop__134.csv,132,33,0.2500
loop__138.csv,133,34,0.2556
loop__139.csv,1,1,1.0000
loop__14.csv,763,153,0.2005
loop__140.csv,1,1,1.0000
loop__141.csv,1,1,1.0000
loop__156.csv,1,0,0.0000
loop__157.csv,132,33,0.2500
loop__160.csv,95,14,0.1474
loop__161.csv,773,154,0.1992
loop__162.csv,154,26,0.1688
loop__163.csv,95,14,0.1474
loop__168.csv,95,14,0.1474
loop__177.csv,200,39,0.1950
loop__185.csv,132,33,0.2500
loop__188.csv,132,33,0.2500
loop__190.csv,96,14,0.1458
loop__2.csv,132,33,0.2500
loop__209.csv,95,14,0.1474
loop__212.csv,266,54,0.2030
loop__213.csv,307,74,0.2410
loop__214.csv,310,74,0.2387
loop__215.csv,310,74,0.2387
loop__216.csv,89,4,0.0449
loop__218.csv,36,0,0.0000
loop__219.csv,88,0,0.0000
loop__222.csv,44,0,0.0000
loop__223.csv,3211,1690,0.5263
loop__224.csv,2100,1639,0.7805
loop__225.csv,132,33,0.2500
loop__226.csv,132,33,0.2500
loop__228.csv,1,0,0.0000
loop__229.csv,17,5,0.2941
loop__230.csv,11,5,0.4545
loop__233.csv,132,33,0.2500
loop__235.csv,95,14,0.1474
loop__236.csv,95,14,0.1474
loop__239.csv,95,14,0.1474
loop__24.csv,1,1,1.0000
loop__25.csv,1,1,1.0000
loop__255.csv,95,14,0.1474
loop__256.csv,132,33,0.2500
loop__257.csv,132,33,0.2500
loop__258.csv,122,17,0.1393
loop__259.csv,122,17,0.1393
loop__260.csv,122,17,0.1393
loop__261.csv,27,3,0.1111
loop__263.csv,27,3,0.1111
loop__265.csv,27,3,0.1111
loop__266.csv,26,3,0.1154
loop__267.csv,19,2,0.1053
loop__268.csv,16,2,0.1250
loop__269.csv,132,33,0.2500
loop__271.csv,132,33,0.2500
loop__272.csv,132,33,0.2500
loop__273.csv,95,14,0.1474
loop__285.csv,95,14,0.1474
loop__293.csv,132,33,0.2500
loop__294.csv,132,33,0.2500
loop__295.csv,132,33,0.2500
loop__3.csv,333,74,0.2222
loop__300.csv,132,33,0.2500
loop__301.csv,132,33,0.2500
loop__302.csv,132,33,0.2500
loop__303.csv,132,33,0.2500
loop__304.csv,132,33,0.2500
loop__31.csv,307,74,0.2410
loop__312.csv,132,33,0.2500
loop__313.csv,132,33,0.2500
loop__314.csv,132,33,0.2500
loop__315.csv,132,33,0.2500
loop__319.csv,132,33,0.2500
loop__320.csv,132,33,0.2500
loop__333.csv,132,33,0.2500
loop__334.csv,132,33,0.2500
loop__335.csv,132,33,0.2500
loop__349.csv,132,33,0.2500
loop__35.csv,324,44,0.1358
loop__350.csv,132,33,0.2500
loop__353.csv,132,33,0.2500
loop__356.csv,132,33,0.2500
loop__357.csv,132,33,0.2500
loop__360.csv,132,33,0.2500
loop__361.csv,132,33,0.2500
loop__364.csv,132,33,0.2500
loop__366.csv,132,33,0.2500
loop__367.csv,132,33,0.2500
loop__368.csv,132,33,0.2500
loop__37.csv,245,40,0.1633
loop__374.csv,132,33,0.2500
loop__377.csv,132,33,0.2500
loop__379.csv,132,33,0.2500
loop__386.csv,132,33,0.2500
loop__389.csv,132,33,0.2500
loop__392.csv,132,33,0.2500
loop__395.csv,132,33,0.2500
loop__397.csv,132,33,0.2500
loop__4.csv,37,19,0.5135
loop__404.csv,132,33,0.2500
loop__407.csv,132,33,0.2500
loop__411.csv,132,33,0.2500
loop__418.csv,132,33,0.2500
loop__421.csv,95,14,0.1474
loop__422.csv,132,33,0.2500
loop__423.csv,132,33,0.2500
loop__424.csv,132,33,0.2500
loop__429.csv,89,9,0.1011
loop__430.csv,63,9,0.1429
loop__431.csv,718,143,0.1992
loop__432.csv,718,143,0.1992
loop__433.csv,718,143,0.1992
loop__434.csv,581,108,0.1859
loop__435.csv,2,0,0.0000
loop__436.csv,19,4,0.2105
loop__437.csv,108,60,0.5556
loop__438.csv,77,47,0.6104
loop__439.csv,21,0,0.0000
loop__440.csv,68,28,0.4118
loop__441.csv,87,24,0.2759
loop__443.csv,36,21,0.5833
loop__446.csv,116,25,0.2155
loop__447.csv,44,2,0.0455
loop__448.csv,66,21,0.3182
loop__450.csv,445,79,0.1775
loop__451.csv,268,45,0.1679
loop__452.csv,294,57,0.1939
loop__453.csv,38,1,0.0263
loop__454.csv,153,29,0.1895
loop__456.csv,81,25,0.3086
loop__457.csv,132,17,0.1288
loop__458.csv,122,23,0.1885
loop__459.csv,4,0,0.0000
