loop_name,COUNT,CRASHC,Crash%
loop__424.csv,36,19,0.5278
loop__43.csv,704,141,0.2003
loop__430.csv,36,19,0.5278
loop__441.csv,36,19,0.5278
loop__464.csv,36,19,0.5278
loop__47.csv,36,19,0.5278
loop__477.csv,1,1,1.0000
loop__48.csv,36,19,0.5278
loop__488.csv,36,19,0.5278
loop__49.csv,36,19,0.5278
loop__493.csv,36,19,0.5278
loop__5.csv,704,141,0.2003
loop__50.csv,36,19,0.5278
loop__502.csv,36,19,0.5278
loop__503.csv,36,19,0.5278
loop__504.csv,1,1,1.0000
loop__505.csv,1,1,1.0000
loop__506.csv,1,1,1.0000
loop__507.csv,36,19,0.5278
loop__51.csv,36,19,0.5278
loop__529.csv,36,19,0.5278
loop__535.csv,36,19,0.5278
loop__536.csv,36,19,0.5278
loop__66.csv,609,127,0.2085
loop__72.csv,36,19,0.5278
loop__77.csv,36,19,0.5278
loop__8.csv,704,141,0.2003
loop__81.csv,199,46,0.2312
loop__86.csv,1,0,0.0000
loop__87.csv,1,0,0.0000
loop__88.csv,36,19,0.5278
loop__9.csv,36,19,0.5278
loop__92.csv,609,127,0.2085
loop__96.csv,95,14,0.1474
loop__97.csv,36,19,0.5278
loop__98.csv,609,127,0.2085
