IP,CrashOnSameIP
0x400dd0,0.0
0x400dd5,0.5
0x400dda,0.0
0x400dde,0.5
0x400de7,0.0
0x400f59,0.0
0x400fa5,0.16666666666666666
0x400fa9,0.0
0x400fb2,0.0
0x40106c,0.0
0x40114b,0.0
0x404810,0.08
0x404811,0.5
0x404815,0.18181818181818182
0x404818,0.3333333333333333
0x40481b,0.2222222222222222
0x40481f,0.1
0x404822,0.06666666666666667
0x40482a,0.08333333333333333
0x40482d,0.07142857142857142
0x404835,0.0
0x404838,0.1111111111111111
0x40483c,0.07692307692307693
0x404980,0.2
0x404985,0.3333333333333333
0x404988,0.0
0x40498c,0.0
0x404994,0.0
0x40499c,0.0
0x4049a0,0.0
0x4049a4,0.6666666666666666
0x4049a8,0.0
0x4049ac,0.3333333333333333
0x4049b0,0.0
0x4049b4,0.25
0x4049b7,0.2
0x4049bb,0.5
0x4049bf,0.0
0x4049c2,0.2
0x4049c8,0.0
0x4049cc,0.0
0x4049d0,0.0
0x4049d6,0.0
0x4049da,0.0
0x4049dd,0.0
0x4049e1,0.0
0x4049e9,0.5
0x4049ee,0.0
0x4049f3,0.16666666666666666
0x4049f7,0.0
0x4049fb,0.0
0x4049ff,0.0
0x404a03,0.0
0x404a0b,0.75
0x404a13,0.0
0x404a17,0.0
0x404a1b,0.0
0x404a23,0.0
0x404a2b,0.0
0x404a30,0.0
0x404a38,0.1111111111111111
0x404a3b,0.0
0x404a49,0.0
0x404a4d,0.0
0x404a53,0.0
0x404a59,0.5
0x404a5f,0.0
0x404a66,0.0
0x404a6a,0.0
0x404a70,0.0
0x404a76,0.0
0x404a7c,0.0
0x404a82,0.0
0x404a88,0.0
0x404a8c,0.0
0x404a91,0.0
0x404a95,0.0
0x404a99,0.3333333333333333
0x404a9c,0.0
0x404aa2,0.0
0x404aae,0.0
0x404ab4,0.6666666666666666
0x404ab9,0.3333333333333333
0x404ac6,0.16666666666666666
0x404aca,0.0
0x404acf,0.0
0x404ad3,0.0
0x404ad9,0.2
0x404add,0.0
0x404ae3,0.0
0x404ae7,0.0
0x404aef,0.0
0x404af3,0.5
0x404af7,0.0
0x404afb,0.0
0x404aff,0.0
0x404b07,0.0
0x404b0c,0.0
0x404b10,0.0
0x404b17,0.0
0x404b1b,0.5
0x404b1f,0.0
0x404b23,0.2
0x404b27,0.0
0x404b2b,0.5
0x404b2f,0.0
0x404b33,0.5
0x404b37,0.0
0x404b3b,0.0
0x404b3f,0.3333333333333333
0x404b47,0.0
0x404b4c,0.2
0x404b51,0.5
0x404b55,0.5
0x404b5a,0.0
0x404b5e,0.3333333333333333
0x404b62,0.0
0x404b66,0.0
0x404b6e,0.0
0x404b77,0.0
0x404b7b,0.3333333333333333
0x404b83,0.0
0x404b87,0.0
0x404b8f,0.0
0x404b93,0.0
0x404b97,0.5
0x404b9f,0.0
0x404ba3,0.75
0x404ba7,0.0
0x404bb0,0.0
0x404bb3,0.2857142857142857
0x404bb8,0.0
0x404bbc,0.0
0x404bc0,0.2
0x404bc4,1.0
0x404bcc,0.25
0x404bcf,0.25
0x404bd4,0.0
0x404bd8,0.25
0x404bdc,0.0
0x404be0,0.0
0x404be8,0.0
0x404bf0,0.0
0x404bf4,0.0
0x404bf8,0.5
0x404c00,0.0
0x404c05,0.0
0x404c09,0.3333333333333333
0x404c11,0.3333333333333333
0x404c16,0.0
0x404c20,0.0
0x404c22,0.2
0x404c24,0.0
0x404c27,0.0
0x404c28,0.0
0x404c29,0.0
0x404c2c,0.3333333333333333
0x404c32,0.2
0x404c39,0.0
0x404c4a,0.0
0x404c57,0.16666666666666666
0x404c60,0.0
0x404c65,0.3333333333333333
0x404c67,0.0
0x404c6b,0.4
0x404c6e,0.1875
0x404c76,0.23076923076923078
0x404c78,0.0
0x404c7d,0.2222222222222222
0x404c81,0.08333333333333333
0x404c86,0.3333333333333333
0x404c8b,0.0
0x404c91,0.0
0x404c93,0.0
0x404c95,0.0
0x404d29,0.3333333333333333
0x404d2e,0.2
0x404d33,0.0
0x404d38,0.0
0x404d3c,0.25
0x404d40,0.2
0x404d44,0.2857142857142857
0x404d49,0.0
0x404d4f,0.0
0x404d55,0.0
0x404d5b,0.0
0x404d5f,0.0
0x404d62,1.0
0x404d63,0.0
0x404d66,0.0
0x404d69,0.0
0x404d71,0.16666666666666666
0x404d72,0.0
0x404d73,0.0
0x404d7a,0.0
0x404d82,0.14285714285714285
0x404d88,0.08306709265175719
0x404d8c,0.09523809523809523
0x404d91,0.13595166163141995
0x404d94,0.09947643979057591
0x404d97,0.09333333333333334
0x404dae,0.09243697478991597
0x404db2,0.093841642228739
0x404db7,0.0
0x404dbf,0.0
0x404dce,0.0
0x404dd5,0.0
0x404dd6,0.5
0x404dd7,0.3333333333333333
0x404dd9,0.3333333333333333
0x404fd9,0.0
0x404fe6,1.0
0x40501f,0.0
0x405030,0.2
0x405035,0.16666666666666666
0x405042,0.0
0x405060,0.04
0x40506c,0.11538461538461539
0x405070,0.0975609756097561
0x405083,0.0
0x405094,0.0
0x4050bd,0.0
0x4050d0,0.05
0x4050d5,0.10526315789473684
0x4050d9,0.1111111111111111
0x4050e5,0.16
0x4050e9,0.045454545454545456
0x4050f5,1.0
0x4050fc,0.0
0x405140,0.05555555555555555
0x405148,0.19047619047619047
0x405150,0.10714285714285714
0x405155,0.13513513513513514
0x40515c,0.06666666666666667
0x405160,0.125
0x405164,0.1111111111111111
0x405170,0.10714285714285714
0x405174,0.03125
0x405180,0.0
0x4051be,1.0
0x4051d0,0.25
0x4051d8,0.18181818181818182
0x4051e0,0.09523809523809523
0x4051e5,0.10714285714285714
0x4051ec,0.13043478260869565
0x4051f0,0.16129032258064516
0x4051f4,0.08
0x405200,0.07407407407407407
0x405204,0.06666666666666667
0x40520c,0.0
0x40521c,1.0
0x405232,0.25
0x40523a,0.0
0x405244,0.0
0x405254,0.0
0x405260,0.038461538461538464
0x405268,0.2857142857142857
0x405270,0.03571428571428571
0x405275,0.11538461538461539
0x40527c,0.125
0x405280,0.10714285714285714
0x405288,0.041666666666666664
0x40528e,0.12
0x405292,0.19230769230769232
0x405296,0.1
0x4052a2,0.19230769230769232
0x4052a6,0.16666666666666666
0x4052b2,0.0
0x4052b6,0.0
0x4052b9,0.0
0x4052ca,0.0
0x4052ce,0.0
0x4052db,0.0
0x4052e8,0.0
0x4052ee,0.0
0x4052f0,0.0
0x405300,0.13793103448275862
0x405308,0.06818181818181818
0x405310,0.03571428571428571
0x405315,0.07142857142857142
0x40531b,0.045454545454545456
0x40531f,0.18181818181818182
0x405327,0.2727272727272727
0x40532c,0.037037037037037035
0x405330,0.09523809523809523
0x405334,0.07407407407407407
0x405340,0.06060606060606061
0x405344,0.07692307692307693
0x405356,0.0
0x405387,1.0
0x40538f,0.0
0x4053a0,0.16666666666666666
0x4053a8,0.038461538461538464
0x4053b0,0.1724137931034483
0x4053b5,0.038461538461538464
0x4053bb,0.05555555555555555
0x4053bf,0.0
0x4053c7,0.11764705882352941
0x4053cc,0.19047619047619047
0x4053d0,0.07692307692307693
0x4053d8,0.07407407407407407
0x4053df,0.125
0x4053e3,0.08695652173913043
0x4053e7,0.03571428571428571
0x4053f3,0.13636363636363635
0x4053f7,0.13793103448275862
0x405434,0.0
0x405440,0.16
0x405448,0.21428571428571427
0x405450,0.0
0x405455,0.16666666666666666
0x40545a,0.043478260869565216
0x40545e,0.06666666666666667
0x405466,0.17391304347826086
0x40546d,0.05555555555555555
0x405471,0.038461538461538464
0x405479,0.15384615384615385
0x40547f,0.07894736842105263
0x405483,0.0
0x405487,0.11428571428571428
0x405493,0.17857142857142858
0x405497,0.20833333333333334
0x4054e5,0.0
0x4054eb,0.0
0x4054f0,0.0
0x4054f4,0.0
0x405508,0.24242424242424243
0x405510,0.08695652173913043
0x405516,0.12903225806451613
0x40551b,0.08333333333333333
0x40551f,0.06060606060606061
0x405523,0.0
0x40552b,0.23809523809523808
0x405530,0.06060606060606061
0x405534,0.14285714285714285
0x40553c,0.08695652173913043
0x405543,0.10526315789473684
0x405547,0.041666666666666664
0x40554f,0.2
0x405555,0.16
0x405559,0.17647058823529413
0x405561,0.1724137931034483
0x405567,0.18518518518518517
0x40556b,0.21052631578947367
0x40556f,0.09090909090909091
0x40557b,0.13333333333333333
0x40557f,0.14705882352941177
0x405594,0.0
0x4055c7,0.0
0x4055f0,0.13793103448275862
0x4055f8,0.12
0x405600,0.16666666666666666
0x405605,0.0625
0x40560b,0.1
0x40560f,0.1724137931034483
0x405617,0.16666666666666666
0x40561c,0.20689655172413793
0x405620,0.2
0x405628,0.10344827586206896
0x40562f,0.2222222222222222
0x405633,0.38095238095238093
0x40563b,0.06451612903225806
0x405641,0.17647058823529413
0x405645,0.21739130434782608
0x40564d,0.14285714285714285
0x405653,0.05714285714285714
0x405657,0.06666666666666667
0x40565f,0.16666666666666666
0x405665,0.21428571428571427
0x405669,0.04
0x40566d,0.06666666666666667
0x405679,0.09523809523809523
0x40567d,0.12
0x40568f,0.0
0x405693,0.0
0x40569a,0.0
0x4056b5,0.0
0x4056f0,0.03333333333333333
0x4056f8,0.1111111111111111
0x405700,0.08333333333333333
0x405705,0.1724137931034483
0x40570b,0.10256410256410256
0x40570f,0.0
0x405717,0.03125
0x40571c,0.08
0x405720,0.125
0x405728,0.08695652173913043
0x40572f,0.1111111111111111
0x405733,0.13636363636363635
0x40573b,0.09523809523809523
0x405741,0.1111111111111111
0x405745,0.08
0x40574d,0.041666666666666664
0x405753,0.034482758620689655
0x405757,0.125
0x40575f,0.058823529411764705
0x405765,0.0
0x405769,0.16666666666666666
0x405771,0.13333333333333333
0x405777,0.044444444444444446
0x40577b,0.038461538461538464
0x40577f,0.09090909090909091
0x40578b,0.05555555555555555
0x40578f,0.10526315789473684
0x4057a8,0.0
0x4057ac,0.0
0x4057d6,0.0
0x4057ed,1.0
0x4057ff,0.0
0x405808,0.041666666666666664
0x405810,0.16666666666666666
0x405818,0.18181818181818182
0x40581d,0.14285714285714285
0x405824,0.14814814814814814
0x405828,0.13043478260869565
0x405830,0.030303030303030304
0x405836,0.16666666666666666
0x40583a,0.12903225806451613
0x405842,0.15
0x405848,0.0
0x40584c,0.10714285714285714
0x405854,0.06451612903225806
0x40585a,0.11764705882352941
0x40585e,0.1388888888888889
0x405866,0.1
0x40586c,0.14814814814814814
0x405870,0.0
0x405874,0.125
0x405880,0.14285714285714285
0x405884,0.047619047619047616
0x4058ac,0.0
0x4058d8,0.0
0x4058dd,0.0
0x4058e2,0.0
0x405900,0.08
0x405908,0.18518518518518517
0x405910,0.10714285714285714
0x405915,0.2
0x40591b,0.06896551724137931
0x40591f,0.125
0x405927,0.11764705882352941
0x40592c,0.1111111111111111
0x405930,0.11428571428571428
0x405938,0.2
0x40593f,0.045454545454545456
0x405943,0.125
0x40594b,0.1111111111111111
0x405951,0.11538461538461539
0x405955,0.14285714285714285
0x40595d,0.0967741935483871
0x405963,0.0967741935483871
0x405967,0.06896551724137931
0x40596f,0.07142857142857142
0x405975,0.047619047619047616
0x405979,0.14285714285714285
0x405981,0.10714285714285714
