129307,0x405809,18,9
129308,0x40580d,23,9
129309,0x405812,16,8
129310,0x405816,10,5
129311,0x405819,14,11
129312,0x405820,17,8
129313,0x405823,0,0
129314,0x405827,19,10
129315,0x40582b,16,12
129316,0x405830,18,9
129317,0x405833,13,9
129318,0x405837,16,10
129319,0x40583a,18,12
129320,0x40583e,8,5
129321,0x405841,22,13
129322,0x405848,13,10
129323,0x40584b,0,0
129324,0x40584f,0,0
129325,0x405857,0,0
129330,0x40585c,85,56
129331,0x405860,96,63
129332,0x405864,94,64
129333,0x405867,88,63
129334,0x40586b,93,66
129335,0x40586e,75,4
129336,0x405871,0,0
129337,0x405875,76,4
129338,0x40587e,76,47
129339,0x405882,81,63
129340,0x405886,85,55
129341,0x40588a,82,58
129342,0x40588e,72,45
129343,0x405891,95,7
129344,0x405895,88,2
129345,0x405899,0,0
129346,0x40589e,109,66
129347,0x4058a2,94,65
129348,0x4058a6,103,61
129349,0x4058a9,86,47
129350,0x4058ad,84,53
129351,0x4058b0,89,6
129352,0x4058b3,0,0
129353,0x4058b7,96,65
129354,0x4058bb,94,53
129355,0x4058bf,93,48
129356,0x4058c3,71,50
129357,0x4058c7,95,50
129358,0x4058ca,93,6
129359,0x4058cd,0,0
129360,0x4058d1,103,4
129361,0x4058d6,98,4
129362,0x4058db,105,6
129363,0x4058e0,93,3
129364,0x4058e5,74,2
129365,0x4058e9,0,0
129366,0x4058ee,79,1
129367,0x4058f3,89,5
129368,0x4058f7,108,7
129369,0x4058fc,89,4
129370,0x405901,94,9
129371,0x405906,75,4
129372,0x40590a,0,0
129373,0x40590f,81,43
129374,0x405913,92,56
129375,0x405917,90,52
129376,0x40591a,95,54
129377,0x40591e,93,41
129378,0x405921,93,4
129379,0x405924,0,0
129380,0x405928,99,57
129381,0x40592c,80,57
129382,0x405930,112,73
129383,0x405934,91,44
129384,0x405938,89,52
129385,0x40593b,82,2
129386,0x40593e,0,0
129387,0x405942,88,48
129388,0x405946,98,67
129389,0x40594a,73,37
129390,0x40594d,102,53
129391,0x405951,100,64
129392,0x405954,97,6
129393,0x405959,87,5
129394,0x40595e,0,0
129395,0x405962,107,62
129396,0x405966,87,48
129397,0x40596a,71,39
129398,0x40596e,98,53
129399,0x405972,77,47
129400,0x405975,101,7
129401,0x40597a,81,6
129402,0x40597f,0,0
129403,0x405983,95,50
129404,0x405987,104,65
129405,0x40598b,82,47
129406,0x40598e,80,51
129407,0x405992,78,51
129408,0x405995,74,3
129409,0x40599a,94,5
129410,0x40599f,0,0
129411,0x4059a3,84,51
129412,0x4059a7,77,47
129413,0x4059ab,85,49
129414,0x4059af,68,35
129415,0x4059b3,99,63
129416,0x4059b6,91,4
129417,0x4059bb,95,9
129418,0x4059c0,0,0
129419,0x4059c4,0,0
129327,0x4059c9,92,1
129328,0x4059cd,118,11
129329,0x4059d1,0,0
129420,0x4059d7,0,0
129304,0x4059dc,17,1
129305,0x4059e0,20,0
129306,0x4059e4,0,0
