loop_name,COUNT,CRASHC,Crash%
loop__1977.csv,1714,665,0.3880
loop__1980.csv,1714,665,0.3880
loop__1981.csv,1714,665,0.3880
loop__1993.csv,1714,665,0.3880
loop__1994.csv,1714,665,0.3880
loop__1995.csv,1714,665,0.3880
loop__1996.csv,1714,665,0.3880
loop__1998.csv,1714,665,0.3880
loop__1999.csv,1714,665,0.3880
loop__2000.csv,1714,665,0.3880
loop__2002.csv,1714,665,0.3880
loop__2005.csv,1714,665,0.3880
loop__2006.csv,1714,665,0.3880
loop__2013.csv,1714,665,0.3880
loop__2036.csv,1714,665,0.3880
loop__2037.csv,1714,665,0.3880
loop__2038.csv,1714,665,0.3880
loop__2039.csv,1714,665,0.3880
loop__2040.csv,1714,665,0.3880
loop__2041.csv,1714,665,0.3880
loop__2042.csv,1714,665,0.3880
loop__2044.csv,1714,665,0.3880
loop__2047.csv,1714,665,0.3880
loop__2049.csv,1714,665,0.3880
loop__2051.csv,1714,665,0.3880
loop__2052.csv,1714,665,0.3880
loop__2056.csv,1714,665,0.3880
loop__2057.csv,1714,665,0.3880
loop__2059.csv,1714,665,0.3880
loop__2060.csv,1714,665,0.3880
loop__2061.csv,1714,665,0.3880
loop__2065.csv,1714,665,0.3880
loop__2066.csv,1714,665,0.3880
loop__2067.csv,1714,665,0.3880
loop__2070.csv,1714,665,0.3880
loop__2081.csv,1714,665,0.3880
loop__2082.csv,1714,665,0.3880
loop__2083.csv,1714,665,0.3880
loop__2084.csv,1714,665,0.3880
loop__2085.csv,1714,665,0.3880
loop__2086.csv,1714,665,0.3880
loop__2098.csv,1714,665,0.3880
loop__21.csv,8893,3465,0.3896
loop__2101.csv,1714,665,0.3880
loop__2104.csv,1714,665,0.3880
loop__2105.csv,1714,665,0.3880
loop__2119.csv,1714,665,0.3880
loop__2134.csv,1714,665,0.3880
loop__2137.csv,1714,665,0.3880
loop__2160.csv,1714,665,0.3880
loop__2161.csv,1714,665,0.3880
loop__2165.csv,1714,665,0.3880
loop__2172.csv,1714,665,0.3880
loop__2173.csv,1714,665,0.3880
loop__2177.csv,1714,665,0.3880
loop__2189.csv,32,2,0.0625
loop__2190.csv,32,2,0.0625
loop__2339.csv,1714,665,0.3880
loop__2417.csv,1714,665,0.3880
loop__2442.csv,1714,665,0.3880
loop__2443.csv,1714,665,0.3880
loop__2444.csv,1714,665,0.3880
loop__250.csv,500,198,0.3960
loop__251.csv,500,198,0.3960
loop__252.csv,10532,4320,0.4102
loop__253.csv,9393,3663,0.3900
loop__254.csv,577,246,0.4263
loop__2547.csv,1714,665,0.3880
loop__255.csv,577,246,0.4263
loop__256.csv,1077,444,0.4123
loop__2564.csv,1714,665,0.3880
loop__2565.csv,1714,665,0.3880
loop__2567.csv,1714,665,0.3880
loop__2568.csv,1714,665,0.3880
loop__257.csv,9970,3909,0.3921
loop__2571.csv,1714,665,0.3880
loop__2579.csv,1714,665,0.3880
