IP,CrashOnSameIP,count
0x417375,0.0,1
0x417378,0.0,1
0x41737c,0.0,1
0x41738f,100.0,1
0x4173ac,0.0,1
0x4173b9,100.0,1
0x4173dd,0.0,1
0x4173ef,100.0,1
0x4173fc,0.0,1
0x417401,0.0,1
0x417415,100.0,1
0x417431,100.0,1
0x417434,0.0,1
0x417439,0.0,3
0x41745d,100.0,1
0x417467,100.0,1
0x417477,100.0,3
0x4174a2,0.0,1
0x4174b4,0.0,1
0x4174cb,100.0,1
0x4174d3,0.0,1
0x4174e2,75.0,4
0x4174ea,0.0,2
0x41752a,0.0,2
0x417546,0.0,1
0x417555,100.0,1
0x41758c,0.0,1
0x4175b8,0.0,1
0x4175e4,50.0,2
0x4175ee,100.0,1
0x417600,0.0,1
0x417608,100.0,1
0x4178c3,0.0,1
0x4178e5,0.0,1
0x4179df,0.0,1
0x419a15,100.0,1
0x41a80b,0.0,1
0x41a874,0.0,1
0x41a8da,0.0,1
0x41a923,100.0,2
0x41a94e,0.0,1
0x41a9c8,0.0,1
0x41aa03,0.0,1
0x41aa32,100.0,1
0x41b287,0.0,1
0x41b2d5,100.0,1
0x41b855,0.0,1
0x41b85c,0.0,1
0x420961,0.0,1
0x4209c3,0.0,1
0x420a3e,100.0,1
0x420a4d,100.0,1
0x420a50,100.0,2
0x420a53,100.0,1
0x420a70,100.0,61
0x420a74,0.0,57
0x420a79,70.9090909090909,55
0x420a81,0.0,45
0x420a84,0.0,51
0x420a8c,0.0,52
0x420a90,0.0,46
0x420a98,0.0,58
0x420a9b,0.0,71
0x420a9e,0.0,50
0x420aa2,0.0,55
0x420aa5,0.0,57
0x420aa8,0.0,57
0x420aac,0.0,47
0x420ab0,0.0,40
0x420ab4,0.0,49
0x420ab8,0.0,49
0x420abc,0.0,60
0x420ac0,0.0,57
0x420ac8,98.38709677419355,62
0x420acc,0.0,58
0x420ad0,0.0,59
0x420ad4,0.0,60
0x420ad8,0.0,44
0x420adc,0.0,35
0x420ae0,0.0,42
0x420ae4,0.0,59
0x420af0,0.0,61
0x420b10,0.0,1
0x420b50,100.0,42
0x420b54,0.0,53
0x420b5b,40.42553191489362,47
0x420b60,63.265306122448976,49
0x420b66,0.0,59
0x420b71,30.612244897959183,49
0x420b7b,64.58333333333333,48
0x420b7e,55.55555555555556,36
0x420b83,32.142857142857146,56
0x420b8d,97.91666666666667,48
0x42bdd0,0.0,71
0x42bdd2,0.0,61
0x42bdd5,0.0,50
0x42bdd8,0.0,57
0x42bddb,0.0,58
0x42bddf,0.0,63
0x42bde3,0.0,44
0x42bde6,0.0,57
0x42bde9,0.0,51
0x42bded,0.0,44
0x42bdf1,0.0,70
0x42bdf4,0.0,53
0x42bdf8,0.0,50
0x42bdfc,0.0,47
0x42bdff,0.0,53
0x42be02,0.0,49
0x42be06,0.0,49
0x42be09,0.0,60
0x42be0c,0.0,52
0x42be10,0.0,56
0x42be13,0.0,55
0x42be16,0.0,58
0x42be1a,0.0,50
0x42be1d,0.0,50
0x42be20,0.0,52
0x42be24,0.0,54
0x42be27,0.0,67
0x42be2a,0.0,55
0x42be2e,0.0,51
0x42be31,0.0,53
0x42be33,0.0,61
0x42be36,0.0,53
0x42be40,100.0,52
0x42be41,0.0,55
0x42be43,0.0,39
0x42be47,0.0,41
0x42be4a,0.0,57
0x42be55,0.0,45
0x42be58,0.0,47
0x42be5b,0.0,65
0x42be5f,0.0,44
0x42be63,0.0,65
0x42be6a,0.0,42
0x42be6d,0.0,57
0x42be71,0.0,49
0x42be75,63.04347826086956,46
0x42be7e,0.0,55
0x42be8a,90.74074074074075,54
0x42be8c,0.0,241
0x42be8f,0.0,219
0x42be91,0.0,239
0x42be94,0.0,203
0x42be98,0.0,198
0x42be9d,0.0,225
0x42bea1,0.0,201
0x42bea3,0.0,226
0x42bea8,0.0,228
0x42bead,0.0,235
0x42beb1,0.0,140
0x42beb5,0.0,166
0x42beb8,0.0,171
0x42bebc,0.0,171
0x42bebe,0.0,162
0x42bec3,0.0,143
0x42bec8,0.0,170
0x42becd,0.0,134
0x42bed1,0.0,97
0x42bed4,0.0,118
0x42bed8,0.0,115
0x42bedd,0.0,111
0x42bee2,0.0,108
0x42bee7,0.0,40
0x42beec,0.0,51
0x42bef3,0.0,60
0x42bef8,96.89119170984456,193
0x42befc,57.72727272727273,220
0x42bf00,20.085470085470085,234
0x42bf06,0.0,62
0x42bf0c,0.0,53
0x42bf11,0.0,52
0x42bf17,0.0,65
0x42bf1c,0.0,57
0x42bf20,0.0,58
0x42bf24,0.0,52
0x42bf27,0.0,59
0x42bf31,74.57627118644068,59
0x42d581,0.0,1
0x42e57e,0.0,1
0x42f43a,100.0,1
0x42f45a,100.0,1
0x42fe57,100.0,1
0x42fe8e,0.0,1
0x431386,0.0,1
0x432e4e,0.0,1
0x432e51,0.0,1
0x43ad08,0.0,1
0x43aee9,0.0,1
0x4454f2,0.0,1
0x44550e,0.0,1
0x445a3b,0.0,1
0x44615f,0.0,1
0x4461a4,0.0,1
0x44620c,100.0,1
0x44bdd3,100.0,1
0x44bddb,0.0,1
