IP,CrashOnSameIP,count
0x40f05a,70.0,10
0x40f05d,0.0,21
0x40f062,28.571428571428573,7
0x40f065,7.6923076923076925,13
0x40f068,0.0,12
0x40f06c,0.0,10
0x40f071,0.0,12
0x40f075,0.0,14
0x40f07d,0.0,11
0x40f081,0.0,5
0x40f086,75.0,4
0x40f089,0.0,3
0x40f08c,100.0,3
0x40f08f,100.0,3
0x40f0a0,80.0,5
0x40f0a5,80.0,10
0x40f0a8,57.142857142857146,14
0x40f0ab,70.0,10
0x40f0ae,0.0,7
0x40f0b3,0.0,25
0x40f0b8,56.52173913043478,23
0x40f0bb,6.25,16
0x40f0bf,45.45454545454545,11
0x40f0c2,46.666666666666664,15
0x40f0c6,0.0,21
0x40f0d0,57.142857142857146,35
0x40f0d3,34.48275862068966,29
0x40f0d6,70.0,30
0x40f0da,7.6923076923076925,26
0x40f0de,78.57142857142857,14
0x40f0e1,0.0,24
0x40f0e6,12.5,8
0x40f0e9,0.0,10
0x40f0ec,0.0,7
0x40f0f0,0.0,14
0x40f0f5,12.5,8
0x40f0f9,0.0,5
0x40f0fd,83.33333333333333,6
0x40f101,45.45454545454545,11
0x40f104,87.5,8
0x40f108,35.714285714285715,14
0x40f112,0.0,4
0x40f115,71.42857142857143,7
0x40f120,52.94117647058823,17
0x40f123,50.0,14
0x40f127,42.10526315789474,19
0x40f12d,0.0,18
0x40f130,66.66666666666667,18
0x40f138,70.27027027027027,37
0x40f13b,48.0,25
0x40f13f,39.473684210526315,38
0x40f148,28.571428571428573,7
0x40f14d,60.0,10
0x40f151,0.0,5
0x40f15b,72.72727272727273,11
0x40f160,58.8235294117647,17
0x40f164,50.0,12
0x40f169,0.0,14
0x40f16d,0.0,12
0x40f760,0.0,3
0x40f764,83.33333333333333,6
0x40f766,0.0,2
0x40f76b,0.0,3
0x40f76f,0.0,4
0x40f774,0.0,1
0x40f779,0.0,2
0x40f77d,0.0,2
0x40f782,0.0,1
0x40f790,0.0,33
0x40f795,4.761904761904762,21
0x40f79a,5.2631578947368425,19
0x40f79e,0.0,11
0x40f7a4,3.8461538461538463,26
0x40f7a9,0.0,21
