0x400d7b
0x400d7d
0x400d81
0x400d84
0x400d88
0x400d8a
0x400d8c
0x400d8f
0x400d92
0x400d94
0x400d97
0x400d99
0x400d9b
0x400d9d
0x400da0
0x400da4
0x400dac
0x400db0
0x400db4
0x400a20
0x400d76
0x400a20
0x400a20
0x400e37
0x400e39
0x400e3d
0x400e40
0x400e44
0x400e46
0x400e48
0x400e4b
0x400e4e
0x400e50
0x400e53
0x400e55
0x400e57
0x400e59
0x400e5c
0x400e60
0x400e64
0x400e6c
0x400e70
0x400e75
0x400e78
0x400db9
0x400dbb
0x400dbf
0x400dc2
0x400dc6
0x400dc8
0x400dca
0x400dcd
0x400dd0
0x400dd2
0x400dd5
0x400dd7
0x400dd9
0x400ddb
0x400dde
0x400de2
0x400dea
0x400dee
0x400df3
0x400df8
0x400dfa
0x400dfe
0x400e01
0x400e05
0x400e07
0x400e09
0x400e0c
0x400e0f
0x400e11
0x400e14
0x400e16
0x400e18
0x400e1a
0x400e1d
0x400e21
0x400e29
0x400e2d
0x400e32
0x400a20
