FDISI8087_NOP,,CMP,,,,,,,,LLDT,,,,MOVD,PADDSW,PMULLD,,,,,,,JNO,,CVTSI2SS,,STOSD,,,,,,,,,,,
FCOM,,INC,,,,,,,,RDTSC,,,,MOVSXD,PADDW,PHSUBSW,,,,,,,JBE,,CVTPD2PS,,REPE_SCASB,,,,,,,,,,,
FPATAN,,,,,,,,,,LMSW,,,,MOV_CR,PABSD,PCMPISTRI,,,,,,,JNLE,,CDQE,,REPNE_SCASQ,,,,,,,,,,,
FXCH,,,,,,,,,,VERR,,,,MOVUPD,PACKSSWB,PHMINPOSUW,,,,,,,JCXZ,,CVTPD2DQ,,REP_MOVSQ,,,,,,,,,,,
FLDZ,,,,,,,,,,LAR,,,,MOVAPS,PSUBSB,PCMPESTRM,,,,,,,JNBE,,CVTSD2SI,,MOVSD,,,,,,,,,,,
FNCLEX,,,,,,,,,,LTR,,,,MOVUPS,PADDQ,PSLLQ,,,,,,,,,CVTSD2SS,,SCASB,,,,,,,,,,,
FSINCOS,,,,,,,,,,LGDT,,,,XCHG,PCMPEQD,UNPCKHPD,,,,,,,,,CDQ,,CMPSW,,,,,,,,,,,
FISTTP,,,,,,,,,,LSL,,,,MOVNTQ,PCMPGTW,PABSW,,,,,,,,,CVTTPS2PI,,CMPSD,,,,,,,,,,,
FIMUL,,,,,,,,,,STR,,,,MOVSLDUP,PSUBUSW,PSUBQ,,,,,,,,,CVTTPS2DQ,,REPNE_SCASB,,,,,,,,,,,
FLDLG2,,,,,,,,,,SGDT,,,,MOVAPD,PUNPCKLWD,CMPSD_XMM,,,,,,,,,CVTDQ2PS,,REPNE_CMPSQ,,,,,,,,,,,
FBSTP,,,,,,,,,,,,,,MOV,PSLLD,PADDUSW,,,,,,,,,CVTDQ2PD,,LODSB,,,,,,,,,,,
FINCSTP,,,,,,,,,,,,,,MOVQ2DQ,PHSUBSW,PCMPGTB,,,,,,,,,,,STOSW,,,,,,,,,,,
FXAM,,,,,,,,,,,,,,MOVQ,PHADDSW,PUNPCKLDQ,,,,,,,,,,,SCASQ,,,,,,,,,,,
FSIN,,,,,,,,,,,,,,MOVHLPS,PSUBW,PUNPCKHWD,,,,,,,,,,,LODSQ,,,,,,,,,,,
FISTP,,,,,,,,,,,,,,MOVSS,PADDB,PMINUD,,,,,,,,,,,SCASD,,,,,,,,,,,
FCOMP,,,,,,,,,,,,,,MOVBE,PSLLW,PEXTRW,,,,,,,,,,,STOSQ,,,,,,,,,,,
FSTPNCE,,,,,,,,,,,,,,MASKMOVQ,PAVGB,PMOVSXDQ,,,,,,,,,,,MOVSQ,,,,,,,,,,,
FLD,,,,,,,,,,,,,,MOVMSKPS,PCMPGTD,PMOVZXDQ,,,,,,,,,,,REPE_CMPSB,,,,,,,,,,,
FSCALE,,,,,,,,,,,,,,MOVSX,PMULHUW,PMOVZXWD,,,,,,,,,,,REP_MOVSB,,,,,,,,,,,
FPREM,,,,,,,,,,,,,,MOVDDUP,PMULLW,PEXTRW_SSE4,,,,,,,,,,,REP_MOVSD,,,,,,,,,,,
FICOMP,,,,,,,,,,,,,,MOVLPD,PMADDWD,PSIGND,,,,,,,,,,,REP_STOSQ,,,,,,,,,,,
FNSTENV,,,,,,,,,,,,,,MOVLPS,PADDSB,PSHUFHW,,,,,,,,,,,REPNE_CMPSB,,,,,,,,,,,
FNSTCW,,,,,,,,,,,,,,,PSRLD,PUNPCKHDQ,,,,,,,,,,,REP_LODSQ,,,,,,,,,,,
FSQRT,,,,,,,,,,,,,,,PSLLQ,PMINUB,,,,,,,,,,,REPE_SCASD,,,,,,,,,,,
FMUL,,,,,,,,,,,,,,,PAVGW,STMXCSR,,,,,,,,,,,REPNE_SCASW,,,,,,,,,,,
FSUBRP,,,,,,,,,,,,,,,PMAXSW,PMOVSXBD,,,,,,,,,,,LODSD,,,,,,,,,,,
FUCOMPP,,,,,,,,,,,,,,,PHSUBW,PCMPESTRI,,,,,,,,,,,REPE_SCASQ,,,,,,,,,,,
FFREE,,,,,,,,,,,,,,,PABSW,PMULHRSW,,,,,,,,,,,CMPSB,,,,,,,,,,,
FTST,,,,,,,,,,,,,,,PSUBQ,LDDQU,,,,,,,,,,,REP_LODSB,,,,,,,,,,,
FDECSTP,,,,,,,,,,,,,,,PADDUSW,BLENDVPS,,,,,,,,,,,REP_STOSD,,,,,,,,,,,
FIDIV,,,,,,,,,,,,,,,PCMPGTB,PSUBSW,,,,,,,,,,,STOSB,,,,,,,,,,,
FENI8087_NOP,,,,,,,,,,,,,,,PMOVMSKB,PMINSD,,,,,,,,,,,,,,,,,,,,,,
FSUB,,,,,,,,,,,,,,,PUNPCKLDQ,PINSRB,,,,,,,,,,,,,,,,,,,,,,
FDIV,,,,,,,,,,,,,,,PUNPCKLBW,MINSS,,,,,,,,,,,,,,,,,,,,,,
FNSAVE,,,,,,,,,,,,,,,PUNPCKHWD,PMOVSXWQ,,,,,,,,,,,,,,,,,,,,,,
FABS,,,,,,,,,,,,,,,PEXTRW,SQRTSS,,,,,,,,,,,,,,,,,,,,,,
FNSTSW,,,,,,,,,,,,,,,PMULUDQ,SHUFPD,,,,,,,,,,,,,,,,,,,,,,
FIDIVR,,,,,,,,,,,,,,,PMAXUB,PADDW,,,,,,,,,,,,,,,,,,,,,,
FCHS,,,,,,,,,,,,,,,PMINSW,FXRSTOR64,,,,,,,,,,,,,,,,,,,,,,
FADDP,,,,,,,,,,,,,,,PSRAW,PMOVZXBQ,,,,,,,,,,,,,,,,,,,,,,
FYL2X,,,,,,,,,,,,,,,PMADDUBSW,RSQRTPS,,,,,,,,,,,,,,,,,,,,,,
FUCOMI,,,,,,,,,,,,,,,PADDUSB,MINPS,,,,,,,,,,,,,,,,,,,,,,
F2XM1,,,,,,,,,,,,,,,PACKSSDW,COMISD,,,,,,,,,,,,,,,,,,,,,,
FXTRACT,,,,,,,,,,,,,,,PSHUFB,LDMXCSR,,,,,,,,,,,,,,,,,,,,,,
FLDPI,,,,,,,,,,,,,,,PSUBB,PSHUFD,,,,,,,,,,,,,,,,,,,,,,
FYL2XP1,,,,,,,,,,,,,,,PSRLQ,DIVPD,,,,,,,,,,,,,,,,,,,,,,
FISUBR,,,,,,,,,,,,,,,PMULHW,MAXPS,,,,,,,,,,,,,,,,,,,,,,
FCOMIP,,,,,,,,,,,,,,,PHSUBD,PMAXUW,,,,,,,,,,,,,,,,,,,,,,
FILD,,,,,,,,,,,,,,,PSIGNB,MPSADBW,,,,,,,,,,,,,,,,,,,,,,
FDIVR,,,,,,,,,,,,,,,PHADDD,PUNPCKLWD,,,,,,,,,,,,,,,,,,,,,,
FPREM1,,,,,,,,,,,,,,,PUNPCKHBW,PMINSB,,,,,,,,,,,,,,,,,,,,,,
FPTAN,,,,,,,,,,,,,,,PCMPEQB,CRC32,,,,,,,,,,,,,,,,,,,,,,
FDIVP,,,,,,,,,,,,,,,PABSB,PEXTRB,,,,,,,,,,,,,,,,,,,,,,
FIST,,,,,,,,,,,,,,,PSUBUSB,FXRSTOR,,,,,,,,,,,,,,,,,,,,,,
FLDCW,,,,,,,,,,,,,,,PSIGND,PMAXSB,,,,,,,,,,,,,,,,,,,,,,
FISUB,,,,,,,,,,,,,,,,COMISS,,,,,,,,,,,,,,,,,,,,,,
