12255,0x4101fc
12316,0x410201
12317,0x410207
12318,0x41020b
12319,0x410211
12320,0x41021a
12321,0x410220
12322,0x410227
12323,0x41022d
12324,0x410233
12325,0x410239
12326,0x41023d
12327,0x410241
12328,0x410247
12329,0x41024d
12330,0x410252
12331,0x410259
12332,0x41025e
12333,0x410265
12334,0x41026c
12335,0x410273
12336,0x41027a
12337,0x41027e
12338,0x410282
12339,0x410286
12340,0x41028a
12341,0x41028e
12342,0x410292
12343,0x410296
12344,0x41029b
12345,0x41029f
12346,0x4102a4
12347,0x4102aa
12348,0x4102af
12349,0x4102b4
12350,0x4102b9
12351,0x4102be
12352,0x4102c2
12353,0x4102c7
12354,0x4102cc
12355,0x4102d1
12356,0x4102d6
12357,0x4102db
12358,0x4102e0
12359,0x4102e5
12360,0x4102ea
12365,0x410305
12366,0x410309
12367,0x410315
12368,0x410319
12216,0x410124
12217,0x41012d
12218,0x410132
12219,0x41013a
12220,0x410143
12221,0x410147
12222,0x41014f
12223,0x410152
12224,0x410157
12225,0x41015c
12226,0x410160
12227,0x410167
12228,0x41016e
12229,0x410175
12230,0x410179
12231,0x41017d
12232,0x410181
12233,0x410186
12234,0x41018a
12235,0x41018f
12236,0x410193
12237,0x410198
12238,0x41019d
12239,0x4101a2
12240,0x4101a7
12242,0x4101ad
12243,0x4101b2
12244,0x4101b8
12245,0x4101bd
12246,0x4101c3
12247,0x4101c8
12248,0x4101ce
12249,0x4101d4
12250,0x4101db
12251,0x4101e1
12252,0x4101e8
12253,0x4101ef
12254,0x4101f6
12256,0x40fea0
12257,0x40fea4
12258,0x40fea6
12259,0x40feab
12260,0x40feb0
12261,0x40feb4
12262,0x40feb8
12263,0x40febd
12264,0x40fec1
12265,0x40fec6
12266,0x40fecb
12267,0x40fed0
12268,0x40fed5
12269,0x40feda
12270,0x40fede
12271,0x40fee4
12272,0x40fee9
12273,0x40feed
12274,0x40fef2
12275,0x40fef6
12276,0x40fefa
12277,0x40feff
12278,0x40ff05
12279,0x40ff09
12280,0x40ff0d
12281,0x40ff13
12282,0x40ff18
12283,0x40ff1d
12284,0x40ff22
12285,0x40ff27
12286,0x40ff2b
12287,0x40ff30
12288,0x40ff34
12289,0x40ff3a
12290,0x40ff3e
12291,0x40ff42
12292,0x40ff46
12293,0x40ff4a
12294,0x40ff4e
12295,0x40ff53
12296,0x40ff58
12297,0x40ff5c
12187,0x41006d
12188,0x410077
12189,0x41007c
12190,0x410086
12191,0x410089
12192,0x41008d
12193,0x410095
12194,0x41009a
12195,0x4100a0
12196,0x4100a8
12197,0x4100b0
12198,0x4100b4
12199,0x4100b8
12200,0x4100c1
12201,0x4100ca
12202,0x4100d4
12203,0x4100d9
12204,0x4100e2
12205,0x4100e5
12206,0x4100ea
12207,0x4100f4
12208,0x4100f9
12209,0x4100fe
12210,0x410108
12211,0x41010a
12212,0x41010f
12213,0x410115
12214,0x41011a
12215,0x41011f
12298,0x40ff62
12299,0x40ff66
12300,0x40ff6a
12301,0x40ff6e
12302,0x40ff72
12303,0x40ff77
12304,0x40ff7c
12305,0x40ff81
12306,0x40ff86
12307,0x40ff8a
12308,0x40ff8f
12309,0x40ff93
12310,0x40ff98
12311,0x40ff9d
12312,0x40ffa2
12313,0x40ffa6
12314,0x40ffaa
12315,0x40ffae
12361,0x4102f0
12362,0x4102f4
12363,0x4102fb
12364,0x4102ff
