IP,CrashOnSameIP
0x400adb,1.0
0x400ae0,0.7543859649122807
0x400ae5,0.9411764705882353
0x400aea,0.8541666666666666
0x400af4,0.045454545454545456
0x400af7,0.0
0x400afa,0.9666666666666667
0x400b0a,0.7903225806451613
0x400b0f,0.4032258064516129
0x400b18,0.8923076923076924
0x400b1d,0.8571428571428571
0x400b22,0.0
0x400b24,0.4888888888888889
0x400b29,0.7142857142857143
0x400b31,0.0
0x400b37,0.0
0x400b3d,0.0
0x400b42,0.0
0x400b48,0.0
0x400b4c,0.0
0x400b50,0.0
0x400b54,0.0
0x400b58,0.0
0x400b68,0.01694915254237288
0x400b6c,0.0
0x400b70,0.0
0x400b75,0.0
0x400b7a,0.5333333333333333
0x400b80,0.0
0x400b89,0.6607142857142857
0x400b8c,0.0
0x400b8e,0.5294117647058824
0x400b90,0.0
0x400ba0,0.0
0x400ba3,0.0
0x400ba8,0.0
0x400bab,0.0
0x400bb1,0.0
0x400bb5,0.2328767123287671
0x400bb8,0.0
0x400bbc,0.03383458646616541
0x400bbf,0.6346153846153846
0x400bc3,0.0
0x400bc8,0.7580645161290323
0x400bcc,0.0
0x400bd3,0.7241379310344828
0x400bd6,0.0
0x400bda,0.0
0x400bdf,0.0
0x400be2,0.0
0x400bec,0.0
0x400bf0,0.0
0x400bf4,0.0
0x400bf8,0.0
0x400bfc,0.0
0x400cc0,0.0
0x400ccc,0.5
0x400ce4,0.0
