IP,CrashOnSameIP
0x400cb0,0.0
0x400cb5,0.2857142857142857
0x400cbb,0.3761467889908257
0x400cbe,0.39215686274509803
0x400cc2,0.3181818181818182
0x400cc5,0.2975206611570248
0x400cc9,0.3076923076923077
0x400ccc,0.3356164383561644
0x400cd0,0.3684210526315789
0x400cd2,0.2
0x400cd5,0.2857142857142857
0x400cd9,0.3125
0x400cdd,0.2222222222222222
0x400ce1,0.2727272727272727
0x400ce4,0.6
0x400ce8,0.4
0x400cec,0.23076923076923078
0x400cf0,0.25
0x400cf4,0.2857142857142857
0x400cf8,0.3333333333333333
0x400d98,0.26666666666666666
0x400da1,1.0
0x400da6,0.3629032258064516
0x400daa,0.32432432432432434
0x400dac,0.4
0x400f10,0.4166666666666667
0x400f11,0.4358974358974359
0x400f19,0.44
0x400f1c,0.45454545454545453
0x400f21,0.4166666666666667
0x400f24,0.4857142857142857
0x400f78,0.46
0x400f7a,0.37142857142857144
0x400f7c,0.3684210526315789
0x400f89,0.3548387096774194
0x400fd0,0.4090909090909091
0x400fd5,0.42857142857142855
0x400fe0,0.4
0x400fe4,0.3709677419354839
0x400fe8,0.3776978417266187
0x400ff1,0.4148936170212766
0x400ff5,0.36496350364963503
0x400ff8,0.38926174496644295
0x401007,0.3888888888888889
0x40100b,0.5294117647058824
0x4011f8,0.22727272727272727
0x4011fc,0.35294117647058826
0x401205,0.2777777777777778
0x401209,0.42857142857142855
0x40120d,0.3076923076923077
0x401216,0.4375
0x4012d0,0.3333333333333333
0x4012d4,0.4117647058823529
0x4012d8,0.3076923076923077
0x4012e7,0.4076655052264808
0x4012eb,0.41254125412541254
0x4012ef,0.3076923076923077
0x4012f3,0.47368421052631576
0x401d4d,0.35714285714285715
0x401d51,0.5
0x401d60,0.29411764705882354
0x401d64,0.4375
