amg.csv,Ins_Type,BR_OR_LP_CTRL,CONDITION,DATAXFER,FP,INTEGER,LOGICAL,SHIFT,STACK,UnKnown
amg.csv,Count,78,814,1080,202,895,17,9,19,452
amg.csv,CrashCount,48,539,672,127,603,14,4,12,282
amg.csv,Crash%,61.54,66.22,62.22,62.87,67.37,82.35,44.44,63.16,62.39

