IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
461f4e,r11,7266367,297,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,subsd,"subsd, %xmm1,%xmm0",0,1,49.98348238,52.73631841,0.46269,FP
4.92E+03,r8,7277004,490,crash,<hypre_UnorderedIntSetCopyToArray._omp_fn.2>,mov,"mov, 0x28(%rdi),%rcx",0,1,50.05665934,52.73631841,0.45771,DATAXFER
48019a,rsi,7330226,355,crash,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,add,"add, $0x1,%rdx",0,1,50.42279869,52.73631841,0.45771,INTEGER
461f02,rax,7338508,130,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,jmp,"jmp, 461f02, <hypre_ParCSRRel",1,0,50.47977449,52.23880597,0.45771,BR_OR_LP_CTRL
4.61E+92,rsp,7340120,7,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,laxThreads._omp_fn.2>:,laxThreads._omp_fn.2>:,0,1,50.4908642,52.73631841,0.45274,UnKnown
461f41,rflags,7342065,783,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,add,"add, $0x1,%rax",0,1,50.50424477,52.73631841,0.45274,INTEGER
406640,rflags,7352732,186,crash,<BuildIJLaplacian27pt._omp_fn.0>,mov,"mov, %rdi,%r10",0,1,50.57762812,53.23383085,0.44776,DATAXFER
461f41,rsp,7390988,777,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,add,"add, $0x1,%rax",1,0,50.84080926,53.23383085,0.44776,INTEGER
461f48,xmm1,7391497,0,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,mulsd,"mulsd, (%r8,%rdx,8),%xmm1",0,1,50.84431091,53.23383085,0.45274,FP
48019e,r9,7415615,725,crash,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,cmp,"cmp, %rax,%rdx",0,1,51.01023005,53.73134328,0.44776,CONDITION
49582d,rsi,7421228,185,masked,<hypre_GetThreadNum>,cltq,cltq,1,0,51.04884454,53.73134328,0.45274,UnKnown
407061,xmm0,7436278,1234,masked,<BuildIJLaplacian27pt._omp_fn.0>,lea,"lea, -0x1(%rdx),%rbp",1,0,51.15238061,53.73134328,0.45274,INTEGER
461f38,rax,7442655,115,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,movsd,"movsd, (%rdi,%rax,8),%xmm1",0,1,51.19625102,54.22885572,0.45274,UnKnown
461f9a,rflags,7454086,1446,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,mov,"mov, (%rbx),%rdx",1,0,51.27489028,54.22885572,0.45274,DATAXFER
4857f8,rdx,7481341,491,crash,<hypre_IJMatrixSetValuesOMPParCSR._omp_fn.6>,mov,"mov, 0x38(%rsp),%rax",0,1,51.46239033,54.72636816,0.45274,DATAXFER
480360,rax,7539853,1009,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mov,"mov, (%rdi,%rdx,8),%rax",1,0,51.86492209,54.22885572,0.45771,DATAXFER
4276b7,rax,7556457,1455,masked,<hypre_BoomerAMGBuildMultipass._omp_fn.0>,add,"add, $0x1,%rdx",1,0,51.97914887,54.22885572,0.45771,INTEGER
